"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Schiermonnikoog";"2006";"20 tot 25 jaar";"45";"21";"24";"37";"19";"18";"8";"2";"6";"-";"-";"-";"-";"-";"-";"0088"
"Schiermonnikoog";"2006";"25 tot 30 jaar";"50";"27";"23";"40";"24";"16";"10";"3";"7";"-";"-";"-";"-";"-";"-";"0088"
"Schiermonnikoog";"2006";"30 tot 35 jaar";"71";"39";"32";"35";"20";"15";"35";"18";"17";"-";"-";"-";"1";"1";"-";"0088"
"Schiermonnikoog";"2006";"35 tot 40 jaar";"65";"32";"33";"22";"15";"7";"37";"17";"20";"1";"-";"1";"5";"-";"5";"0088"
"Schiermonnikoog";"2006";"40 tot 45 jaar";"70";"42";"28";"18";"13";"5";"40";"22";"18";"1";"1";"-";"11";"6";"5";"0088"
"Schiermonnikoog";"2006";"45 tot 50 jaar";"79";"38";"41";"18";"12";"6";"47";"21";"26";"2";"-";"2";"12";"5";"7";"0088"
"Schiermonnikoog";"2006";"50 tot 55 jaar";"72";"42";"30";"9";"6";"3";"46";"25";"21";"1";"-";"1";"16";"11";"5";"0088"
"Schiermonnikoog";"2006";"55 tot 60 jaar";"86";"47";"39";"12";"7";"5";"65";"34";"31";"2";"1";"1";"7";"5";"2";"0088"
"Schiermonnikoog";"2006";"60 tot 65 jaar";"70";"30";"40";"1";"-";"1";"57";"27";"30";"5";"1";"4";"7";"2";"5";"0088"
"Schiermonnikoog";"2006";"65 tot 70 jaar";"58";"29";"29";"4";"2";"2";"41";"21";"20";"7";"2";"5";"6";"4";"2";"0088"
"Schiermonnikoog";"2006";"70 tot 75 jaar";"38";"15";"23";"3";"1";"2";"26";"14";"12";"9";"-";"9";"-";"-";"-";"0088"
"Schiermonnikoog";"2006";"75 tot 80 jaar";"37";"15";"22";"4";"2";"2";"20";"11";"9";"12";"2";"10";"1";"-";"1";"0088"
"Schiermonnikoog";"2006";"80 tot 85 jaar";"29";"10";"19";"2";"-";"2";"14";"8";"6";"12";"2";"10";"1";"-";"1";"0088"
"Schiermonnikoog";"2006";"85 tot 90 jaar";"14";"6";"8";"-";"-";"-";"5";"5";"-";"7";"-";"7";"2";"1";"1";"0088"
"Schiermonnikoog";"2006";"90 tot 95 jaar";"10";"3";"7";"-";"-";"-";"2";"1";"1";"8";"2";"6";"-";"-";"-";"0088"
"Schiermonnikoog";"2006";"95 jaar of ouder";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0088"
"Schijndel";"2006";"Totaal leeftijden";"22935";"11458";"11477";"9797";"5261";"4536";"10974";"5480";"5494";"1095";"250";"845";"1069";"467";"602";"0844"
"Schijndel";"2006";"Jonger dan 5 jaar";"1368";"683";"685";"1368";"683";"685";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0844"
"Schijndel";"2006";"5 tot 10 jaar";"1428";"729";"699";"1428";"729";"699";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0844"
"Schijndel";"2006";"10 tot 15 jaar";"1467";"775";"692";"1467";"775";"692";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0844"
"Schijndel";"2006";"15 tot 20 jaar";"1498";"784";"714";"1498";"784";"714";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0844"
"Schijndel";"2006";"20 tot 25 jaar";"1127";"582";"545";"1082";"573";"509";"43";"9";"34";"-";"-";"-";"2";"-";"2";"0844"
"Schijndel";"2006";"25 tot 30 jaar";"1182";"585";"597";"889";"508";"381";"283";"76";"207";"1";"-";"1";"9";"1";"8";"0844"
"Schijndel";"2006";"30 tot 35 jaar";"1456";"759";"697";"588";"377";"211";"803";"360";"443";"-";"-";"-";"65";"22";"43";"0844"
"Schijndel";"2006";"35 tot 40 jaar";"1863";"919";"944";"446";"275";"171";"1290";"595";"695";"5";"2";"3";"122";"47";"75";"0844"
"Schijndel";"2006";"40 tot 45 jaar";"1932";"939";"993";"266";"169";"97";"1467";"696";"771";"16";"4";"12";"183";"70";"113";"0844"
"Schijndel";"2006";"45 tot 50 jaar";"1908";"996";"912";"192";"128";"64";"1518";"780";"738";"28";"5";"23";"170";"83";"87";"0844"
"Schijndel";"2006";"50 tot 55 jaar";"1695";"887";"808";"132";"100";"32";"1362";"692";"670";"36";"8";"28";"165";"87";"78";"0844"
"Schijndel";"2006";"55 tot 60 jaar";"1647";"849";"798";"73";"57";"16";"1356";"702";"654";"69";"20";"49";"149";"70";"79";"0844"
"Schijndel";"2006";"60 tot 65 jaar";"1246";"640";"606";"48";"25";"23";"1032";"560";"472";"89";"22";"67";"77";"33";"44";"0844"
"Schijndel";"2006";"65 tot 70 jaar";"1021";"516";"505";"62";"42";"20";"784";"416";"368";"129";"36";"93";"46";"22";"24";"0844"
"Schijndel";"2006";"70 tot 75 jaar";"873";"408";"465";"59";"21";"38";"571";"320";"251";"203";"49";"154";"40";"18";"22";"0844"
"Schijndel";"2006";"75 tot 80 jaar";"548";"220";"328";"48";"13";"35";"289";"162";"127";"183";"35";"148";"28";"10";"18";"0844"
"Schijndel";"2006";"80 tot 85 jaar";"386";"119";"267";"63";"1";"62";"128";"76";"52";"185";"39";"146";"10";"3";"7";"0844"
"Schijndel";"2006";"85 tot 90 jaar";"192";"47";"145";"50";"1";"49";"37";"28";"9";"102";"17";"85";"3";"1";"2";"0844"
"Schijndel";"2006";"90 tot 95 jaar";"79";"18";"61";"30";"-";"30";"8";"6";"2";"41";"12";"29";"-";"-";"-";"0844"
"Schijndel";"2006";"95 jaar of ouder";"19";"3";"16";"8";"-";"8";"3";"2";"1";"8";"1";"7";"-";"-";"-";"0844"
"Schinnen";"2006";"Totaal leeftijden";"13439";"6753";"6686";"5025";"2794";"2231";"6937";"3476";"3461";"808";"179";"629";"669";"304";"365";"0962"
"Schinnen";"2006";"Jonger dan 5 jaar";"598";"314";"284";"598";"314";"284";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0962"
"Schinnen";"2006";"5 tot 10 jaar";"755";"397";"358";"755";"397";"358";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0962"
"Schinnen";"2006";"10 tot 15 jaar";"875";"490";"385";"875";"490";"385";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0962"
"Schinnen";"2006";"15 tot 20 jaar";"792";"406";"386";"792";"406";"386";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0962"
"Schinnen";"2006";"20 tot 25 jaar";"544";"301";"243";"531";"297";"234";"13";"4";"9";"-";"-";"-";"-";"-";"-";"0962"
"Schinnen";"2006";"25 tot 30 jaar";"560";"289";"271";"445";"262";"183";"109";"27";"82";"-";"-";"-";"6";"-";"6";"0962"
"Schinnen";"2006";"30 tot 35 jaar";"669";"335";"334";"278";"177";"101";"361";"145";"216";"1";"-";"1";"29";"13";"16";"0962"
"Schinnen";"2006";"35 tot 40 jaar";"942";"471";"471";"225";"133";"92";"639";"305";"334";"1";"1";"-";"77";"32";"45";"0962"
"Schinnen";"2006";"40 tot 45 jaar";"1136";"563";"573";"170";"115";"55";"848";"404";"444";"9";"2";"7";"109";"42";"67";"0962"
"Schinnen";"2006";"45 tot 50 jaar";"1155";"590";"565";"101";"63";"38";"910";"457";"453";"15";"5";"10";"129";"65";"64";"0962"
"Schinnen";"2006";"50 tot 55 jaar";"1057";"540";"517";"68";"47";"21";"880";"446";"434";"14";"1";"13";"95";"46";"49";"0962"
"Schinnen";"2006";"55 tot 60 jaar";"1119";"557";"562";"37";"23";"14";"965";"478";"487";"52";"19";"33";"65";"37";"28";"0962"
"Schinnen";"2006";"60 tot 65 jaar";"970";"488";"482";"47";"31";"16";"798";"416";"382";"57";"14";"43";"68";"27";"41";"0962"
"Schinnen";"2006";"65 tot 70 jaar";"786";"396";"390";"29";"16";"13";"618";"335";"283";"94";"22";"72";"45";"23";"22";"0962"
"Schinnen";"2006";"70 tot 75 jaar";"611";"299";"312";"27";"10";"17";"432";"245";"187";"129";"35";"94";"23";"9";"14";"0962"
"Schinnen";"2006";"75 tot 80 jaar";"448";"188";"260";"22";"10";"12";"254";"146";"108";"158";"26";"132";"14";"6";"8";"0962"
"Schinnen";"2006";"80 tot 85 jaar";"255";"87";"168";"13";"3";"10";"88";"54";"34";"149";"29";"120";"5";"1";"4";"0962"
"Schinnen";"2006";"85 tot 90 jaar";"107";"32";"75";"7";"-";"7";"19";"12";"7";"78";"17";"61";"3";"3";"-";"0962"
"Schinnen";"2006";"90 tot 95 jaar";"48";"8";"40";"5";"-";"5";"3";"2";"1";"40";"6";"34";"-";"-";"-";"0962"
"Schinnen";"2006";"95 jaar of ouder";"12";"2";"10";"-";"-";"-";"-";"-";"-";"11";"2";"9";"1";"-";"1";"0962"
"Schoonhoven";"2006";"Totaal leeftijden";"12215";"6016";"6199";"5406";"2840";"2566";"5617";"2813";"2804";"594";"113";"481";"598";"250";"348";"0608"
"Schoonhoven";"2006";"Jonger dan 5 jaar";"842";"409";"433";"842";"409";"433";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0608"
"Schoonhoven";"2006";"5 tot 10 jaar";"787";"396";"391";"787";"396";"391";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0608"
"Schoonhoven";"2006";"10 tot 15 jaar";"697";"378";"319";"697";"378";"319";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0608"
"Schoonhoven";"2006";"15 tot 20 jaar";"806";"383";"423";"805";"383";"422";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0608"
"Schoonhoven";"2006";"20 tot 25 jaar";"709";"339";"370";"651";"328";"323";"58";"11";"47";"-";"-";"-";"-";"-";"-";"0608"
"Schoonhoven";"2006";"25 tot 30 jaar";"770";"375";"395";"522";"289";"233";"238";"85";"153";"-";"-";"-";"10";"1";"9";"0608"
"Schoonhoven";"2006";"30 tot 35 jaar";"842";"445";"397";"387";"239";"148";"429";"198";"231";"1";"-";"1";"25";"8";"17";"0608"
"Schoonhoven";"2006";"35 tot 40 jaar";"1000";"500";"500";"273";"166";"107";"663";"305";"358";"3";"1";"2";"61";"28";"33";"0608"
"Schoonhoven";"2006";"40 tot 45 jaar";"863";"454";"409";"142";"89";"53";"642";"329";"313";"5";"2";"3";"74";"34";"40";"0608"
"Schoonhoven";"2006";"45 tot 50 jaar";"840";"407";"433";"108";"57";"51";"626";"311";"315";"7";"1";"6";"99";"38";"61";"0608"
"Schoonhoven";"2006";"50 tot 55 jaar";"830";"408";"422";"74";"47";"27";"650";"316";"334";"15";"5";"10";"91";"40";"51";"0608"
"Schoonhoven";"2006";"55 tot 60 jaar";"886";"445";"441";"37";"20";"17";"746";"382";"364";"23";"8";"15";"80";"35";"45";"0608"
"Schoonhoven";"2006";"60 tot 65 jaar";"709";"363";"346";"24";"13";"11";"569";"312";"257";"51";"10";"41";"65";"28";"37";"0608"
"Schoonhoven";"2006";"65 tot 70 jaar";"526";"264";"262";"17";"12";"5";"399";"218";"181";"61";"9";"52";"49";"25";"24";"0608"
"Schoonhoven";"2006";"70 tot 75 jaar";"372";"174";"198";"16";"8";"8";"263";"146";"117";"75";"15";"60";"18";"5";"13";"0608"
"Schoonhoven";"2006";"75 tot 80 jaar";"335";"143";"192";"7";"1";"6";"206";"116";"90";"114";"22";"92";"8";"4";"4";"0608"
"Schoonhoven";"2006";"80 tot 85 jaar";"221";"86";"135";"10";"4";"6";"91";"57";"34";"110";"21";"89";"10";"4";"6";"0608"
"Schoonhoven";"2006";"85 tot 90 jaar";"121";"35";"86";"5";"1";"4";"31";"23";"8";"81";"11";"70";"4";"-";"4";"0608"
"Schoonhoven";"2006";"90 tot 95 jaar";"55";"12";"43";"2";"-";"2";"5";"4";"1";"44";"8";"36";"4";"-";"4";"0608"
"Schoonhoven";"2006";"95 jaar of ouder";"4";"-";"4";"-";"-";"-";"-";"-";"-";"4";"-";"4";"-";"-";"-";"0608"
"Schouwen-Duiveland";"2006";"Totaal leeftijden";"34435";"16967";"17468";"13109";"7065";"6044";"17051";"8530";"8521";"2306";"449";"1857";"1969";"923";"1046";"1676"
"Schouwen-Duiveland";"2006";"Jonger dan 5 jaar";"1758";"915";"843";"1758";"915";"843";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1676"
"Schouwen-Duiveland";"2006";"5 tot 10 jaar";"2049";"1032";"1017";"2049";"1032";"1017";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1676"
"Schouwen-Duiveland";"2006";"10 tot 15 jaar";"2059";"1025";"1034";"2059";"1025";"1034";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1676"
"Schouwen-Duiveland";"2006";"15 tot 20 jaar";"1924";"977";"947";"1918";"976";"942";"6";"1";"5";"-";"-";"-";"-";"-";"-";"1676"
"Schouwen-Duiveland";"2006";"20 tot 25 jaar";"1605";"857";"748";"1471";"822";"649";"132";"34";"98";"-";"-";"-";"2";"1";"1";"1676"
"Schouwen-Duiveland";"2006";"25 tot 30 jaar";"1528";"818";"710";"1017";"623";"394";"493";"191";"302";"-";"-";"-";"18";"4";"14";"1676"
"Schouwen-Duiveland";"2006";"30 tot 35 jaar";"1940";"954";"986";"802";"479";"323";"1047";"437";"610";"1";"-";"1";"90";"38";"52";"1676"
"Schouwen-Duiveland";"2006";"35 tot 40 jaar";"2534";"1244";"1290";"620";"373";"247";"1702";"790";"912";"5";"2";"3";"207";"79";"128";"1676"
"Schouwen-Duiveland";"2006";"40 tot 45 jaar";"2525";"1249";"1276";"436";"256";"180";"1823";"886";"937";"19";"3";"16";"247";"104";"143";"1676"
"Schouwen-Duiveland";"2006";"45 tot 50 jaar";"2439";"1187";"1252";"277";"168";"109";"1836";"885";"951";"41";"8";"33";"285";"126";"159";"1676"
"Schouwen-Duiveland";"2006";"50 tot 55 jaar";"2422";"1227";"1195";"173";"120";"53";"1919";"954";"965";"56";"11";"45";"274";"142";"132";"1676"
"Schouwen-Duiveland";"2006";"55 tot 60 jaar";"2866";"1439";"1427";"164";"100";"64";"2294";"1161";"1133";"116";"28";"88";"292";"150";"142";"1676"
"Schouwen-Duiveland";"2006";"60 tot 65 jaar";"2271";"1133";"1138";"93";"58";"35";"1771";"917";"854";"181";"37";"144";"226";"121";"105";"1676"
"Schouwen-Duiveland";"2006";"65 tot 70 jaar";"1881";"940";"941";"65";"36";"29";"1483";"771";"712";"190";"48";"142";"143";"85";"58";"1676"
"Schouwen-Duiveland";"2006";"70 tot 75 jaar";"1607";"777";"830";"55";"28";"27";"1182";"661";"521";"289";"56";"233";"81";"32";"49";"1676"
"Schouwen-Duiveland";"2006";"75 tot 80 jaar";"1239";"568";"671";"67";"29";"38";"756";"458";"298";"370";"56";"314";"46";"25";"21";"1676"
"Schouwen-Duiveland";"2006";"80 tot 85 jaar";"922";"363";"559";"46";"13";"33";"414";"258";"156";"422";"80";"342";"40";"12";"28";"1676"
"Schouwen-Duiveland";"2006";"85 tot 90 jaar";"553";"175";"378";"20";"5";"15";"149";"97";"52";"370";"69";"301";"14";"4";"10";"1676"
"Schouwen-Duiveland";"2006";"90 tot 95 jaar";"254";"76";"178";"17";"7";"10";"43";"28";"15";"191";"41";"150";"3";"-";"3";"1676"
"Schouwen-Duiveland";"2006";"95 jaar of ouder";"59";"11";"48";"2";"-";"2";"1";"1";"-";"55";"10";"45";"1";"-";"1";"1676"
"Sevenum";"2006";"Totaal leeftijden";"7543";"3827";"3716";"3275";"1801";"1474";"3662";"1838";"1824";"379";"82";"297";"227";"106";"121";"0964"
"Sevenum";"2006";"Jonger dan 5 jaar";"503";"267";"236";"503";"267";"236";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0964"
"Sevenum";"2006";"5 tot 10 jaar";"512";"242";"270";"512";"242";"270";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0964"
"Sevenum";"2006";"10 tot 15 jaar";"489";"250";"239";"489";"250";"239";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0964"
"Sevenum";"2006";"15 tot 20 jaar";"444";"236";"208";"444";"236";"208";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0964"
"Sevenum";"2006";"20 tot 25 jaar";"329";"166";"163";"319";"164";"155";"10";"2";"8";"-";"-";"-";"-";"-";"-";"0964"
"Sevenum";"2006";"25 tot 30 jaar";"388";"194";"194";"295";"167";"128";"92";"27";"65";"-";"-";"-";"1";"-";"1";"0964"
"Sevenum";"2006";"30 tot 35 jaar";"515";"259";"256";"244";"148";"96";"260";"109";"151";"1";"-";"1";"10";"2";"8";"0964"
"Sevenum";"2006";"35 tot 40 jaar";"590";"316";"274";"154";"106";"48";"411";"202";"209";"-";"-";"-";"25";"8";"17";"0964"
"Sevenum";"2006";"40 tot 45 jaar";"606";"311";"295";"103";"74";"29";"456";"211";"245";"3";"-";"3";"44";"26";"18";"0964"
"Sevenum";"2006";"45 tot 50 jaar";"604";"321";"283";"76";"54";"22";"487";"248";"239";"6";"2";"4";"35";"17";"18";"0964"
"Sevenum";"2006";"50 tot 55 jaar";"510";"281";"229";"28";"24";"4";"436";"239";"197";"12";"2";"10";"34";"16";"18";"0964"
"Sevenum";"2006";"55 tot 60 jaar";"526";"267";"259";"32";"24";"8";"448";"228";"220";"18";"5";"13";"28";"10";"18";"0964"
"Sevenum";"2006";"60 tot 65 jaar";"462";"239";"223";"19";"17";"2";"388";"197";"191";"29";"9";"20";"26";"16";"10";"0964"
"Sevenum";"2006";"65 tot 70 jaar";"344";"175";"169";"12";"8";"4";"287";"154";"133";"33";"7";"26";"12";"6";"6";"0964"
"Sevenum";"2006";"70 tot 75 jaar";"314";"149";"165";"15";"7";"8";"223";"125";"98";"69";"14";"55";"7";"3";"4";"0964"
"Sevenum";"2006";"75 tot 80 jaar";"196";"89";"107";"16";"9";"7";"104";"64";"40";"73";"15";"58";"3";"1";"2";"0964"
"Sevenum";"2006";"80 tot 85 jaar";"139";"45";"94";"6";"2";"4";"50";"23";"27";"81";"19";"62";"2";"1";"1";"0964"
"Sevenum";"2006";"85 tot 90 jaar";"50";"15";"35";"4";"1";"3";"9";"8";"1";"37";"6";"31";"-";"-";"-";"0964"
"Sevenum";"2006";"90 tot 95 jaar";"19";"5";"14";"4";"1";"3";"1";"1";"-";"14";"3";"11";"-";"-";"-";"0964"
"Sevenum";"2006";"95 jaar of ouder";"3";"-";"3";"-";"-";"-";"-";"-";"-";"3";"-";"3";"-";"-";"-";"0964"
"Simpelveld";"2006";"Totaal leeftijden";"11317";"5604";"5713";"4094";"2258";"1836";"5841";"2925";"2916";"819";"162";"657";"563";"259";"304";"0965"
"Simpelveld";"2006";"Jonger dan 5 jaar";"474";"233";"241";"474";"233";"241";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0965"
"Simpelveld";"2006";"5 tot 10 jaar";"569";"290";"279";"569";"290";"279";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0965"
"Simpelveld";"2006";"10 tot 15 jaar";"671";"350";"321";"671";"350";"321";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0965"
"Simpelveld";"2006";"15 tot 20 jaar";"661";"353";"308";"661";"353";"308";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0965"
"Simpelveld";"2006";"20 tot 25 jaar";"526";"292";"234";"508";"285";"223";"17";"7";"10";"-";"-";"-";"1";"-";"1";"0965"
"Simpelveld";"2006";"25 tot 30 jaar";"489";"253";"236";"342";"209";"133";"139";"42";"97";"-";"-";"-";"8";"2";"6";"0965"
"Simpelveld";"2006";"30 tot 35 jaar";"605";"299";"306";"234";"147";"87";"347";"145";"202";"-";"-";"-";"24";"7";"17";"0965"
"Simpelveld";"2006";"35 tot 40 jaar";"779";"380";"399";"178";"118";"60";"544";"239";"305";"-";"-";"-";"57";"23";"34";"0965"
"Simpelveld";"2006";"40 tot 45 jaar";"942";"466";"476";"106";"65";"41";"740";"365";"375";"7";"-";"7";"89";"36";"53";"0965"
"Simpelveld";"2006";"45 tot 50 jaar";"980";"508";"472";"85";"61";"24";"779";"391";"388";"16";"3";"13";"100";"53";"47";"0965"
"Simpelveld";"2006";"50 tot 55 jaar";"863";"441";"422";"55";"36";"19";"706";"369";"337";"23";"4";"19";"79";"32";"47";"0965"
"Simpelveld";"2006";"55 tot 60 jaar";"898";"444";"454";"39";"32";"7";"728";"353";"375";"49";"11";"38";"82";"48";"34";"0965"
"Simpelveld";"2006";"60 tot 65 jaar";"799";"398";"401";"35";"23";"12";"644";"336";"308";"64";"15";"49";"56";"24";"32";"0965"
"Simpelveld";"2006";"65 tot 70 jaar";"720";"360";"360";"35";"30";"5";"532";"286";"246";"120";"26";"94";"33";"18";"15";"0965"
"Simpelveld";"2006";"70 tot 75 jaar";"539";"254";"285";"23";"10";"13";"362";"212";"150";"138";"25";"113";"16";"7";"9";"0965"
"Simpelveld";"2006";"75 tot 80 jaar";"391";"159";"232";"23";"10";"13";"202";"109";"93";"155";"35";"120";"11";"5";"6";"0965"
"Simpelveld";"2006";"80 tot 85 jaar";"234";"89";"145";"20";"5";"15";"77";"56";"21";"131";"24";"107";"6";"4";"2";"0965"
"Simpelveld";"2006";"85 tot 90 jaar";"118";"26";"92";"19";"-";"19";"20";"11";"9";"78";"15";"63";"1";"-";"1";"0965"
"Simpelveld";"2006";"90 tot 95 jaar";"50";"9";"41";"12";"1";"11";"4";"4";"-";"34";"4";"30";"-";"-";"-";"0965"
"Simpelveld";"2006";"95 jaar of ouder";"9";"-";"9";"5";"-";"5";"-";"-";"-";"4";"-";"4";"-";"-";"-";"0965"
"Sint Anthonis";"2006";"Totaal leeftijden";"11676";"5946";"5730";"5170";"2866";"2304";"5578";"2791";"2787";"607";"141";"466";"321";"148";"173";"1702"
"Sint Anthonis";"2006";"Jonger dan 5 jaar";"683";"350";"333";"683";"350";"333";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1702"
"Sint Anthonis";"2006";"5 tot 10 jaar";"854";"449";"405";"854";"449";"405";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1702"
"Sint Anthonis";"2006";"10 tot 15 jaar";"856";"426";"430";"856";"426";"430";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1702"
"Sint Anthonis";"2006";"15 tot 20 jaar";"778";"403";"375";"778";"403";"375";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1702"
"Sint Anthonis";"2006";"20 tot 25 jaar";"511";"257";"254";"503";"254";"249";"8";"3";"5";"-";"-";"-";"-";"-";"-";"1702"
"Sint Anthonis";"2006";"25 tot 30 jaar";"522";"277";"245";"433";"253";"180";"87";"23";"64";"-";"-";"-";"2";"1";"1";"1702"
"Sint Anthonis";"2006";"30 tot 35 jaar";"602";"317";"285";"284";"191";"93";"303";"121";"182";"-";"-";"-";"15";"5";"10";"1702"
"Sint Anthonis";"2006";"35 tot 40 jaar";"930";"459";"471";"226";"154";"72";"674";"294";"380";"-";"-";"-";"30";"11";"19";"1702"
"Sint Anthonis";"2006";"40 tot 45 jaar";"1023";"554";"469";"157";"116";"41";"812";"413";"399";"4";"1";"3";"50";"24";"26";"1702"
"Sint Anthonis";"2006";"45 tot 50 jaar";"983";"504";"479";"114";"85";"29";"791";"385";"406";"16";"6";"10";"62";"28";"34";"1702"
"Sint Anthonis";"2006";"50 tot 55 jaar";"858";"459";"399";"65";"50";"15";"713";"376";"337";"13";"5";"8";"67";"28";"39";"1702"
"Sint Anthonis";"2006";"55 tot 60 jaar";"735";"407";"328";"54";"41";"13";"616";"339";"277";"29";"6";"23";"36";"21";"15";"1702"
"Sint Anthonis";"2006";"60 tot 65 jaar";"533";"284";"249";"40";"29";"11";"427";"224";"203";"47";"19";"28";"19";"12";"7";"1702"
"Sint Anthonis";"2006";"65 tot 70 jaar";"517";"235";"282";"39";"28";"11";"399";"187";"212";"58";"12";"46";"21";"8";"13";"1702"
"Sint Anthonis";"2006";"70 tot 75 jaar";"527";"256";"271";"32";"17";"15";"385";"210";"175";"102";"25";"77";"8";"4";"4";"1702"
"Sint Anthonis";"2006";"75 tot 80 jaar";"352";"179";"173";"21";"13";"8";"219";"136";"83";"105";"25";"80";"7";"5";"2";"1702"
"Sint Anthonis";"2006";"80 tot 85 jaar";"232";"72";"160";"10";"-";"10";"109";"55";"54";"111";"17";"94";"2";"-";"2";"1702"
"Sint Anthonis";"2006";"85 tot 90 jaar";"123";"40";"83";"16";"5";"11";"27";"18";"9";"78";"16";"62";"2";"1";"1";"1702"
"Sint Anthonis";"2006";"90 tot 95 jaar";"48";"16";"32";"3";"1";"2";"7";"6";"1";"38";"9";"29";"-";"-";"-";"1702"
"Sint Anthonis";"2006";"95 jaar of ouder";"9";"2";"7";"2";"1";"1";"1";"1";"-";"6";"-";"6";"-";"-";"-";"1702"
"Sint-Michielsgestel";"2006";"Totaal leeftijden";"28013";"14047";"13966";"11594";"6302";"5292";"13788";"6892";"6896";"1485";"340";"1145";"1146";"513";"633";"0845"
"Sint-Michielsgestel";"2006";"Jonger dan 5 jaar";"1647";"833";"814";"1647";"833";"814";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0845"
"Sint-Michielsgestel";"2006";"5 tot 10 jaar";"1881";"967";"914";"1881";"967";"914";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0845"
"Sint-Michielsgestel";"2006";"10 tot 15 jaar";"1904";"955";"949";"1904";"955";"949";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0845"
"Sint-Michielsgestel";"2006";"15 tot 20 jaar";"1791";"918";"873";"1790";"918";"872";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0845"
"Sint-Michielsgestel";"2006";"20 tot 25 jaar";"1275";"714";"561";"1247";"710";"537";"27";"4";"23";"-";"-";"-";"1";"-";"1";"0845"
"Sint-Michielsgestel";"2006";"25 tot 30 jaar";"1110";"594";"516";"888";"527";"361";"212";"65";"147";"-";"-";"-";"10";"2";"8";"0845"
"Sint-Michielsgestel";"2006";"30 tot 35 jaar";"1624";"815";"809";"675";"434";"241";"899";"370";"529";"3";"-";"3";"47";"11";"36";"0845"
"Sint-Michielsgestel";"2006";"35 tot 40 jaar";"2190";"1047";"1143";"475";"286";"189";"1563";"703";"860";"10";"-";"10";"142";"58";"84";"0845"
"Sint-Michielsgestel";"2006";"40 tot 45 jaar";"2316";"1160";"1156";"342";"211";"131";"1783";"870";"913";"12";"4";"8";"179";"75";"104";"0845"
"Sint-Michielsgestel";"2006";"45 tot 50 jaar";"2196";"1147";"1049";"219";"154";"65";"1754";"893";"861";"26";"7";"19";"197";"93";"104";"0845"
"Sint-Michielsgestel";"2006";"50 tot 55 jaar";"2000";"1019";"981";"119";"83";"36";"1676";"843";"833";"50";"18";"32";"155";"75";"80";"0845"
