"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Reeuwijk";"2006";"60 tot 65 jaar";"741";"381";"360";"14";"9";"5";"648";"343";"305";"40";"9";"31";"39";"20";"19";"0595"
"Reeuwijk";"2006";"65 tot 70 jaar";"629";"312";"317";"17";"9";"8";"481";"267";"214";"79";"12";"67";"52";"24";"28";"0595"
"Reeuwijk";"2006";"70 tot 75 jaar";"493";"239";"254";"14";"8";"6";"356";"200";"156";"95";"16";"79";"28";"15";"13";"0595"
"Reeuwijk";"2006";"75 tot 80 jaar";"400";"175";"225";"18";"9";"9";"243";"136";"107";"120";"22";"98";"19";"8";"11";"0595"
"Reeuwijk";"2006";"80 tot 85 jaar";"267";"109";"158";"7";"2";"5";"131";"80";"51";"119";"25";"94";"10";"2";"8";"0595"
"Reeuwijk";"2006";"85 tot 90 jaar";"112";"31";"81";"8";"2";"6";"36";"24";"12";"64";"4";"60";"4";"1";"3";"0595"
"Reeuwijk";"2006";"90 tot 95 jaar";"36";"6";"30";"-";"-";"-";"4";"3";"1";"31";"3";"28";"1";"-";"1";"0595"
"Reeuwijk";"2006";"95 jaar of ouder";"14";"4";"10";"-";"-";"-";"-";"-";"-";"14";"4";"10";"-";"-";"-";"0595"
"Reiderland";"2006";"Totaal leeftijden";"6994";"3502";"3492";"2727";"1500";"1227";"3312";"1660";"1652";"522";"107";"415";"433";"235";"198";"1661"
"Reiderland";"2006";"Jonger dan 5 jaar";"354";"169";"185";"354";"169";"185";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1661"
"Reiderland";"2006";"5 tot 10 jaar";"349";"170";"179";"349";"170";"179";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1661"
"Reiderland";"2006";"10 tot 15 jaar";"374";"173";"201";"374";"173";"201";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1661"
"Reiderland";"2006";"15 tot 20 jaar";"384";"202";"182";"384";"202";"182";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1661"
"Reiderland";"2006";"20 tot 25 jaar";"281";"151";"130";"266";"146";"120";"15";"5";"10";"-";"-";"-";"-";"-";"-";"1661"
"Reiderland";"2006";"25 tot 30 jaar";"293";"152";"141";"218";"127";"91";"69";"23";"46";"-";"-";"-";"6";"2";"4";"1661"
"Reiderland";"2006";"30 tot 35 jaar";"437";"210";"227";"201";"118";"83";"210";"81";"129";"1";"-";"1";"25";"11";"14";"1661"
"Reiderland";"2006";"35 tot 40 jaar";"554";"284";"270";"166";"107";"59";"345";"160";"185";"2";"-";"2";"41";"17";"24";"1661"
"Reiderland";"2006";"40 tot 45 jaar";"595";"301";"294";"135";"82";"53";"397";"186";"211";"5";"2";"3";"58";"31";"27";"1661"
"Reiderland";"2006";"45 tot 50 jaar";"537";"279";"258";"91";"65";"26";"373";"179";"194";"7";"2";"5";"66";"33";"33";"1661"
"Reiderland";"2006";"50 tot 55 jaar";"544";"292";"252";"64";"50";"14";"398";"203";"195";"21";"7";"14";"61";"32";"29";"1661"
"Reiderland";"2006";"55 tot 60 jaar";"618";"336";"282";"40";"31";"9";"491";"255";"236";"22";"6";"16";"65";"44";"21";"1661"
"Reiderland";"2006";"60 tot 65 jaar";"494";"268";"226";"21";"15";"6";"370";"203";"167";"38";"12";"26";"65";"38";"27";"1661"
"Reiderland";"2006";"65 tot 70 jaar";"344";"174";"170";"26";"18";"8";"247";"134";"113";"50";"9";"41";"21";"13";"8";"1661"
"Reiderland";"2006";"70 tot 75 jaar";"268";"134";"134";"18";"14";"4";"164";"94";"70";"70";"15";"55";"16";"11";"5";"1661"
"Reiderland";"2006";"75 tot 80 jaar";"257";"98";"159";"10";"6";"4";"138";"72";"66";"102";"18";"84";"7";"2";"5";"1661"
"Reiderland";"2006";"80 tot 85 jaar";"170";"64";"106";"8";"6";"2";"75";"47";"28";"86";"11";"75";"1";"-";"1";"1661"
"Reiderland";"2006";"85 tot 90 jaar";"102";"37";"65";"2";"1";"1";"20";"18";"2";"79";"17";"62";"1";"1";"-";"1661"
"Reiderland";"2006";"90 tot 95 jaar";"30";"5";"25";"-";"-";"-";"-";"-";"-";"30";"5";"25";"-";"-";"-";"1661"
"Reiderland";"2006";"95 jaar of ouder";"9";"3";"6";"-";"-";"-";"-";"-";"-";"9";"3";"6";"-";"-";"-";"1661"
"Reimerswaal";"2006";"Totaal leeftijden";"21142";"10642";"10500";"9159";"4988";"4171";"9980";"4997";"4983";"1177";"249";"928";"826";"408";"418";"0703"
"Reimerswaal";"2006";"Jonger dan 5 jaar";"1582";"805";"777";"1582";"805";"777";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0703"
"Reimerswaal";"2006";"5 tot 10 jaar";"1607";"819";"788";"1607";"819";"788";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0703"
"Reimerswaal";"2006";"10 tot 15 jaar";"1507";"770";"737";"1507";"770";"737";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0703"
"Reimerswaal";"2006";"15 tot 20 jaar";"1422";"754";"668";"1416";"754";"662";"6";"-";"6";"-";"-";"-";"-";"-";"-";"0703"
"Reimerswaal";"2006";"20 tot 25 jaar";"1286";"652";"634";"979";"565";"414";"304";"87";"217";"-";"-";"-";"3";"-";"3";"0703"
"Reimerswaal";"2006";"25 tot 30 jaar";"1259";"659";"600";"621";"378";"243";"620";"276";"344";"-";"-";"-";"18";"5";"13";"0703"
"Reimerswaal";"2006";"30 tot 35 jaar";"1452";"743";"709";"420";"267";"153";"973";"452";"521";"2";"1";"1";"57";"23";"34";"0703"
"Reimerswaal";"2006";"35 tot 40 jaar";"1627";"820";"807";"320";"193";"127";"1219";"578";"641";"6";"2";"4";"82";"47";"35";"0703"
"Reimerswaal";"2006";"40 tot 45 jaar";"1486";"794";"692";"163";"106";"57";"1181";"615";"566";"3";"-";"3";"139";"73";"66";"0703"
"Reimerswaal";"2006";"45 tot 50 jaar";"1280";"653";"627";"145";"95";"50";"1002";"502";"500";"16";"2";"14";"117";"54";"63";"0703"
"Reimerswaal";"2006";"50 tot 55 jaar";"1230";"653";"577";"108";"73";"35";"976";"510";"466";"29";"7";"22";"117";"63";"54";"0703"
"Reimerswaal";"2006";"55 tot 60 jaar";"1308";"649";"659";"72";"44";"28";"1051";"525";"526";"64";"17";"47";"121";"63";"58";"0703"
"Reimerswaal";"2006";"60 tot 65 jaar";"965";"484";"481";"43";"32";"11";"803";"419";"384";"67";"9";"58";"52";"24";"28";"0703"
"Reimerswaal";"2006";"65 tot 70 jaar";"828";"420";"408";"38";"25";"13";"648";"351";"297";"96";"23";"73";"46";"21";"25";"0703"
"Reimerswaal";"2006";"70 tot 75 jaar";"738";"340";"398";"31";"16";"15";"518";"282";"236";"160";"28";"132";"29";"14";"15";"0703"
"Reimerswaal";"2006";"75 tot 80 jaar";"669";"295";"374";"41";"23";"18";"410";"223";"187";"193";"34";"159";"25";"15";"10";"0703"
"Reimerswaal";"2006";"80 tot 85 jaar";"503";"210";"293";"32";"14";"18";"207";"135";"72";"249";"56";"193";"15";"5";"10";"0703"
"Reimerswaal";"2006";"85 tot 90 jaar";"247";"84";"163";"19";"7";"12";"46";"31";"15";"177";"45";"132";"5";"1";"4";"0703"
"Reimerswaal";"2006";"90 tot 95 jaar";"108";"30";"78";"8";"2";"6";"15";"10";"5";"85";"18";"67";"-";"-";"-";"0703"
"Reimerswaal";"2006";"95 jaar of ouder";"38";"8";"30";"7";"-";"7";"1";"1";"-";"30";"7";"23";"-";"-";"-";"0703"
"Renkum";"2006";"Totaal leeftijden";"31603";"15113";"16490";"12731";"6660";"6071";"14316";"7126";"7190";"2543";"486";"2057";"2013";"841";"1172";"0274"
"Renkum";"2006";"Jonger dan 5 jaar";"1596";"800";"796";"1596";"800";"796";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0274"
"Renkum";"2006";"5 tot 10 jaar";"1757";"888";"869";"1757";"888";"869";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0274"
"Renkum";"2006";"10 tot 15 jaar";"1945";"997";"948";"1945";"997";"948";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0274"
"Renkum";"2006";"15 tot 20 jaar";"1726";"920";"806";"1724";"919";"805";"2";"1";"1";"-";"-";"-";"-";"-";"-";"0274"
"Renkum";"2006";"20 tot 25 jaar";"1036";"577";"459";"997";"568";"429";"38";"8";"30";"-";"-";"-";"1";"1";"-";"0274"
"Renkum";"2006";"25 tot 30 jaar";"1109";"581";"528";"884";"515";"369";"213";"62";"151";"1";"-";"1";"11";"4";"7";"0274"
"Renkum";"2006";"30 tot 35 jaar";"1524";"749";"775";"798";"450";"348";"679";"285";"394";"2";"-";"2";"45";"14";"31";"0274"
"Renkum";"2006";"35 tot 40 jaar";"2155";"1022";"1133";"733";"403";"330";"1257";"551";"706";"7";"1";"6";"158";"67";"91";"0274"
"Renkum";"2006";"40 tot 45 jaar";"2497";"1213";"1284";"626";"351";"275";"1609";"750";"859";"8";"2";"6";"254";"110";"144";"0274"
"Renkum";"2006";"45 tot 50 jaar";"2403";"1182";"1221";"422";"227";"195";"1682";"824";"858";"42";"10";"32";"257";"121";"136";"0274"
"Renkum";"2006";"50 tot 55 jaar";"2339";"1160";"1179";"319";"179";"140";"1705";"856";"849";"39";"10";"29";"276";"115";"161";"0274"
"Renkum";"2006";"55 tot 60 jaar";"2539";"1266";"1273";"213";"106";"107";"1923";"982";"941";"98";"32";"66";"305";"146";"159";"0274"
