"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006";;;;;;;;;;;
Onderwerpen;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Lokalisering van de postcode;;
Onderwerpen;Totaal allochtonen;Westerse allochtonen;Niet-westerse allochtonen;Totaal particuliere huishoudens;Eenpersoonshuishoudens;Meerpersoonshuishoudens zonder kinderen;Meerpersoonshuishoudens met kinderen;Gemiddelde huishoudensgrootte;Gemeentenaam;;totaalpers
Postcodes op 1 januari;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;naam;;
3701 Zeist;815;515;300;3060;1605;865;590;1.8;Zeist;;5508
3702 Zeist;730;360;365;1665;575;505;590;2.25;Zeist;;3746.25
3703 Zeist;1315;555;765;2550;880;815;855;2.28;Zeist;;5814
3704 Zeist;2480;840;1640;3955;1355;1135;1465;2.33;Zeist;;9215.15
3705 Zeist;1905;770;1135;4515;2080;1075;1360;2.07;Zeist;;9346.05
3706 Zeist;1895;575;1320;2725;1350;710;665;1.9;Zeist;;5177.5
3707 Zeist;925;650;270;2285;640;780;865;2.41;Zeist;;5506.85
3708 Zeist;1085;605;475;2840;1350;800;690;1.92;Zeist;;5452.8
3709 Zeist;50;40;10;180;105;50;30;1.73;Zeist;;311.4
3711 Zeist;150;110;40;610;165;185;260;2.49;Zeist;;1518.9
3712 Zeist;275;230;50;830;330;260;235;2.02;Zeist;;1676.6
3721 De Bilt;1370;655;715;3565;1375;1020;1165;2.14;De Bilt;;7629.1
3722 De Bilt;625;480;150;2090;905;625;560;2.05;De Bilt;;4284.5
3723 De Bilt;1600;1190;410;4155;1345;1330;1480;2.32;De Bilt;;9639.6
3731 De Bilt;920;540;375;2735;1015;830;900;2.2;De Bilt;;6017
3732 De Bilt;640;380;260;2210;1025;570;620;1.97;De Bilt;;4353.7
3734 Zeist;650;370;280;1430;430;495;510;2.3;Zeist;;3289
3735 Zeist;275;225;50;635;140;310;185;2.34;Zeist;;1485.9
3737 De Bilt;185;160;25;735;180;265;290;2.56;De Bilt;;1881.6
3738 De Bilt;455;330;125;2000;545;680;780;2.5;De Bilt;;5000
3739 De Bilt;200;140;55;565;150;180;235;2.51;De Bilt;;1418.15
3741 Baarn;1285;685;605;3905;1365;1200;1340;2.23;Baarn;;8708.15
3742 Baarn;1555;825;725;4285;1425;1250;1610;2.28;Baarn;;9769.8
3743 Baarn;720;565;155;2230;1035;710;480;1.95;Baarn;;4348.5
3744 Baarn;135;95;35;165;50;65;55;2.36;Baarn;;389.4
3749 Baarn;30;20;10;125;50;45;30;2.08;Baarn;;260
3751 Bunschoten;375;165;210;1975;495;535;945;2.69;Bunschoten;;5312.75
3752 Bunschoten;940;380;560;4535;850;1245;2435;2.9;Bunschoten;;13151.5
3754 Bunschoten;15;15;0;275;35;85;160;3.16;Bunschoten;;869
3755 Eemnes;1040;740;305;3490;865;1030;1595;2.53;Eemnes;;8829.7
3761 Soest;635;490;145;2270;840;785;650;2.14;Soest;;4857.8
3762 Soest;1265;675;590;3720;1290;1140;1285;2.23;Soest;;8295.6
3763 Soest;440;175;260;860;140;280;435;2.77;Soest;;2382.2
3764 Soest;1545;375;1175;2300;1015;635;645;2.08;Soest;;4784
3765 Soest;1635;455;1185;2320;945;630;750;2.13;Soest;;4941.6
3766 Soest;1255;710;545;3100;790;975;1340;2.51;Soest;;7781
3768 Soest;720;535;190;2275;615;840;825;2.41;Soest;;5482.75
3769 Soest;875;590;285;2710;875;855;980;2.27;Soest;;6151.7
3771 Barneveld;795;385;410;4105;1235;1210;1660;2.63;Barneveld;;10796.15
3772 Barneveld;1795;880;920;4960;1245;1485;2235;2.73;Barneveld;;13540.8
3773 Barneveld;180;115;65;1285;305;280;700;3.05;Barneveld;;3919.25
3774 Barneveld;50;30;15;1380;240;305;830;3.53;Barneveld;;4871.4
3775 Barneveld;25;15;5;110;30;35;50;2.62;Barneveld;;288.2
3776 Barneveld;50;40;10;520;115;135;265;2.91;Barneveld;;1513.2
3781 Barneveld;575;425;155;3615;860;1155;1595;2.64;Barneveld;;9543.6
3784 Barneveld;50;45;5;505;85;180;240;2.93;Barneveld;;1479.65
3785 Barneveld;25;25;5;430;70;145;210;2.96;Barneveld;;1272.8
3791 Leusden;125;105;20;955;240;330;385;2.57;Leusden;;2454.35
3792 Barneveld;5;0;5;50;5;15;30;3;Barneveld;;150
3794 Barneveld;65;25;40;170;30;40;100;3.2;Barneveld;;544
3811 Amersfoort;1110;630;480;3475;2210;850;415;1.52;Amersfoort;;5282
3812 Amersfoort;1710;705;1005;4895;1915;1275;1705;2.14;Amersfoort;;10475.3
3813 Amersfoort;3525;1445;2080;6945;2560;1860;2525;2.25;Amersfoort;;15626.25
3814 Amersfoort;2370;315;2060;2375;1075;550;745;2.08;Amersfoort;;4940
3815 Amersfoort;3990;935;3055;4800;1710;1510;1575;2.19;Amersfoort;;10512
3816 Amersfoort;3985;925;3060;5520;2580;1440;1495;2.02;Amersfoort;;11150.4
3817 Amersfoort;2215;1055;1160;5305;2055;1435;1820;2.22;Amersfoort;;11777.1
3818 Amersfoort;1740;1150;590;4440;1800;1200;1440;2.17;Amersfoort;;9634.8
3819 Amersfoort;230;60;170;150;80;20;45;2.05;Amersfoort;;307.5
3821 Amersfoort;15;10;10;85;40;15;30;2.2;Amersfoort;;187
3822 Amersfoort;1465;730;740;3385;900;880;1605;2.57;Amersfoort;;8699.45
3823 Amersfoort;2205;1115;1085;4675;1250;1265;2160;2.53;Amersfoort;;11827.75
3824 Amersfoort;2775;1200;1575;5515;1195;1425;2890;2.74;Amersfoort;;15111.1
3825 Amersfoort;1345;455;895;2045;255;630;1160;2.88;Amersfoort;;5889.6
3826 Amersfoort;120;55;65;260;50;115;105;2.48;Amersfoort;;644.8
3828 Amersfoort;1150;750;400;4215;930;1325;1955;2.64;Amersfoort;;11127.6
3829 Amersfoort;125;85;40;750;200;250;300;2.5;Amersfoort;;1875
3831 Leusden;1780;1165;620;5460;1500;1710;2250;2.44;Leusden;;13322.4
3832 Leusden;225;175;50;995;210;405;380;2.48;Leusden;;2467.6
3833 Leusden;1380;740;645;3285;1100;885;1300;2.38;Leusden;;7818.3
3834 Leusden;260;180;80;910;265;265;375;2.4;Leusden;;2184
3835 Leusden;10;5;10;125;25;40;60;2.81;Leusden;;351.25
3836 Amersfoort;5;5;5;45;5;20;20;3.09;Amersfoort;;139.05
3841 Harderwijk;820;390;425;2910;1110;850;950;2.16;Harderwijk;;6285.6
3842 Harderwijk;1355;335;1020;2440;760;740;940;2.4;Harderwijk;;5856
3843 Harderwijk;1595;340;1250;2625;730;740;1150;2.54;Harderwijk;;6667.5
3844 Harderwijk;1320;685;635;3905;1225;1120;1560;2.4;Harderwijk;;9372
3845 Harderwijk;790;355;430;2090;480;635;975;2.65;Harderwijk;;5538.5
3846 Harderwijk;15;15;0;55;15;20;20;2.39;Harderwijk;;131.45
3847 Harderwijk;35;35;5;230;75;90;60;2.21;Harderwijk;;508.3
3848 Harderwijk;365;190;180;1335;290;405;645;2.68;Harderwijk;;3577.8
3849 Harderwijk;145;95;45;1085;260;315;500;2.7;Harderwijk;;2929.5
3851 Ermelo;785;505;285;4210;1395;1435;1380;2.31;Ermelo;;9725.1
3852 Ermelo;475;320;150;2230;520;805;910;2.56;Ermelo;;5708.8
3853 Ermelo;1005;570;440;3995;1425;970;1595;2.49;Ermelo;;9947.55
3861 Nijkerk;860;320;540;3185;1005;985;1190;2.4;Nijkerk;;7644
3862 Nijkerk;1380;570;815;4895;1155;1600;2135;2.62;Nijkerk;;12824.9
3863 Nijkerk;520;215;300;2060;505;605;950;2.62;Nijkerk;;5397.2
3864 Nijkerk;105;70;30;1265;265;370;625;2.79;Nijkerk;;3529.35
3871 Nijkerk;675;490;185;3465;780;1215;1465;2.59;Nijkerk;;8974.35
3881 Putten;770;505;270;4705;1295;1625;1785;2.49;Putten;;11715.45
3882 Putten;590;310;275;3840;800;1020;2020;2.92;Putten;;11212.8
3886 Barneveld;70;55;15;750;175;245;330;2.74;Barneveld;;2055
3888 Apeldoorn;35;30;5;785;130;205;445;3.55;Apeldoorn;;2786.75
3891 Zeewolde;655;465;190;2055;530;600;920;2.57;Zeewolde;;5281.35
3892 Zeewolde;675;465;215;2185;470;655;1065;2.71;Zeewolde;;5921.35
3893 Zeewolde;690;435;250;2225;375;580;1275;2.92;Zeewolde;;6497
3894 Zeewolde;0;0;0;0;0;0;0;0;Zeewolde;;0
3896 Zeewolde;50;40;15;280;120;85;80;2.13;Zeewolde;;596.4
3897 Zeewolde;20;20;0;225;15;65;150;3.36;Zeewolde;;756
3898 Zeewolde;5;5;0;65;5;20;40;3.47;Zeewolde;;225.55
3899 Zeewolde;5;5;0;30;5;5;20;3.23;Zeewolde;;96.9
3901 Veenendaal;2300;580;1720;4395;2080;1335;985;1.96;Veenendaal;;8614.2
3902 Veenendaal;1745;605;1140;3645;995;1155;1495;2.56;Veenendaal;;9331.2
3903 Veenendaal;615;345;270;2670;625;730;1310;2.7;Veenendaal;;7209
3904 Veenendaal;2130;845;1290;5300;1215;1745;2345;2.59;Veenendaal;;13727
3905 Veenendaal;2110;845;1270;5525;1495;1530;2500;2.59;Veenendaal;;14309.75
3906 Veenendaal;665;430;235;2700;435;790;1475;2.89;Veenendaal;;7803
3907 Veenendaal;5;0;0;55;5;25;25;3.05;Veenendaal;;167.75
3911 Rhenen;1405;780;625;5320;1490;1875;1955;2.46;Rhenen;;13087.2
3912 Rhenen;50;40;10;235;30;80;130;2.88;Rhenen;;676.8
3921 Rhenen;220;155;65;1480;270;535;675;2.69;Rhenen;;3981.2
3922 Rhenen;25;20;5;130;20;50;65;2.88;Rhenen;;374.4
3925 Scherpenzeel;475;335;145;3335;835;1070;1435;2.65;Scherpenzeel;;8837.75
3927 Renswoude;175;130;45;1555;340;465;745;2.79;Renswoude;;4338.45
3931 Woudenberg;815;470;345;4170;1025;1315;1830;2.64;Woudenberg;;11008.8
3941 Utrechtse Heuvelrug;1220;880;335;4275;1540;1410;1320;2.2;Utrechtse Heuvelrug;;9405
3945 Wijk bij Duurstede;200;120;80;1155;280;375;500;2.57;Wijk bij Duurstede;;2968.35
3947 Wijk bij Duurstede;125;85;40;775;185;250;340;2.71;Wijk bij Duurstede;;2100.25
3951 Utrechtse Heuvelrug;485;360;125;2010;560;820;630;2.29;Utrechtse Heuvelrug;;4602.9
3953 Utrechtse Heuvelrug;150;95;60;450;85;165;195;2.8;Utrechtse Heuvelrug;;1260
3956 Utrechtse Heuvelrug;1095;585;510;3135;910;1080;1145;2.38;Utrechtse Heuvelrug;;7461.3
3958 Utrechtse Heuvelrug;570;420;150;2235;610;775;855;2.44;Utrechtse Heuvelrug;;5453.4
3959 Utrechtse Heuvelrug;95;40;50;415;80;115;210;3.17;Utrechtse Heuvelrug;;1315.55
3961 Wijk bij Duurstede;1215;690;525;3895;1025;1105;1765;2.52;Wijk bij Duurstede;;9815.4
3962 Wijk bij Duurstede;890;600;290;3280;695;1085;1500;2.58;Wijk bij Duurstede;;8462.4
3971 Utrechtse Heuvelrug;900;665;235;3280;1080;1140;1060;2.29;Utrechtse Heuvelrug;;7511.2
3972 Utrechtse Heuvelrug;1970;900;1065;4325;1280;1355;1690;2.43;Utrechtse Heuvelrug;;10509.75
3981 Bunnik;780;530;255;2890;840;1105;950;2.29;Bunnik;;6618.1
3984 Bunnik;500;335;160;2065;535;655;880;2.53;Bunnik;;5224.45
3985 Bunnik;175;110;60;850;210;240;400;2.65;Bunnik;;2252.5
3989 Vianen;0;0;0;5;5;5;5;2;Vianen;;10
3991 Houten;1670;850;815;5380;1205;1635;2540;2.64;Houten;;14203.2
3992 Houten;870;535;340;2595;615;615;1365;2.72;Houten;;7058.4
3993 Houten;900;405;495;2165;535;510;1125;2.64;Houten;;5715.6
3994 Houten;1755;960;800;4555;865;1190;2500;2.81;Houten;;12799.55
3995 Houten;245;135;105;730;440;170;125;1.6;Houten;;1168
3997 Houten;35;30;0;250;60;80;110;2.59;Houten;;647.5
3998 Houten;100;55;50;735;165;240;335;2.69;Houten;;1977.15
3999 Houten;30;25;5;260;50;95;110;2.59;Houten;;673.4
4001 Tiel;2660;1000;1660;4805;2060;1355;1390;2.03;Tiel;;9754.15
4002 Tiel;355;185;170;975;250;370;350;2.36;Tiel;;2301
4003 Tiel;1655;815;840;3415;830;1090;1495;2.51;Tiel;;8571.65
4004 Tiel;10;5;0;45;10;15;25;2.78;Tiel;;125.1
4005 Tiel;1270;330;950;2025;485;585;950;2.56;Tiel;;5184
4006 Tiel;1460;370;1090;1700;635;520;545;2.24;Tiel;;3808
4007 Tiel;1345;695;655;3030;500;815;1715;2.88;Tiel;;8726.4
4011 Buren;105;75;25;580;125;200;250;2.54;Buren;;1473.2
4012 Buren;80;75;10;555;115;210;225;2.52;Buren;;1398.6
4013 Tiel;40;35;5;265;55;95;110;2.62;Tiel;;694.3
4014 Tiel;60;45;15;410;60;160;190;2.7;Tiel;;1107
4016 Buren;0;0;0;75;20;20;30;2.55;Buren;;191.25
4017 Tiel;15;10;5;70;55;5;10;1.39;Tiel;;97.3
4021 Buren;245;200;45;1655;360;610;685;2.48;Buren;;4104.4
4023 Buren;35;30;10;265;55;105;105;2.53;Buren;;670.45
4024 Buren;100;80;20;680;150;255;275;2.51;Buren;;1706.8
4031 Buren;110;85;25;850;195;285;370;2.57;Buren;;2184.5
4032 Buren;30;30;0;280;50;85;140;2.91;Buren;;814.8
4033 Buren;250;185;60;2000;400;670;925;2.73;Buren;;5460
4041 Neder-Betuwe;360;180;175;1690;340;495;860;2.93;Neder-Betuwe;;4951.7
4043 Neder-Betuwe;415;355;60;1860;380;460;1015;3.19;Neder-Betuwe;;5933.4
4051 Neder-Betuwe;220;160;60;1700;370;590;740;2.63;Neder-Betuwe;;4471
4053 Neder-Betuwe;35;25;10;380;60;130;190;2.95;Neder-Betuwe;;1121
4054 Neder-Betuwe;60;45;15;430;95;135;205;2.76;Neder-Betuwe;;1186.8
4061 Neerijnen;90;70;20;640;135;220;280;2.58;Neerijnen;;1651.2
4062 Tiel;10;10;5;55;15;15;30;2.77;Tiel;;152.35
4063 Neerijnen;45;25;15;175;40;70;70;2.47;Neerijnen;;432.25
4064 Neerijnen;70;30;35;360;65;135;160;2.66;Neerijnen;;957.6
4101 Culemborg;1165;490;680;3055;960;1000;1095;2.29;Culemborg;;6995.95
4102 Culemborg;2315;865;1445;3515;1100;1010;1410;2.39;Culemborg;;8400.85
4103 Culemborg;135;90;55;460;115;135;210;2.6;Culemborg;;1196
4104 Culemborg;15;10;10;40;10;10;20;2.55;Culemborg;;102
4105 Culemborg;1910;765;1145;3790;915;1035;1840;2.63;Culemborg;;9967.7
4106 Culemborg;5;5;0;25;0;5;10;3.41;Culemborg;;85.25
4107 Culemborg;15;10;5;90;15;25;50;2.88;Culemborg;;259.2
4111 Buren;25;20;0;255;45;95;115;2.55;Buren;;650.25
4112 Buren;245;190;60;1130;220;400;510;2.64;Buren;;2983.2
4115 Buren;20;20;5;155;35;50;70;2.55;Buren;;395.25
4116 Buren;155;120;35;985;245;345;400;2.5;Buren;;2462.5
4117 Buren;25;15;10;190;30;65;90;2.8;Buren;;532
4119 Buren;20;15;0;150;40;45;70;2.6;Buren;;390
4121 Vianen;80;55;30;465;80;150;230;2.77;Vianen;;1288.05
4122 Vianen;35;30;10;275;45;95;140;2.83;Vianen;;778.25
4124 Vianen;60;45;15;525;90;175;260;2.78;Vianen;;1459.5
4126 Zederik;35;30;5;340;70;90;175;2.78;Zederik;;945.2
4128 Zederik;100;75;30;1000;230;345;420;2.6;Zederik;;2600
4131 Vianen;1045;310;735;1855;635;555;660;2.25;Vianen;;4173.75
4132 Vianen;575;260;315;1980;545;735;700;2.3;Vianen;;4554
4133 Vianen;1015;520;495;2740;530;865;1345;2.67;Vianen;;7315.8
4141 Leerdam;515;305;205;2105;760;685;660;2.22;Leerdam;;4673.1
4142 Leerdam;2745;715;2030;2595;840;665;1090;2.41;Leerdam;;6253.95
4143 Leerdam;885;530;360;2525;485;785;1250;2.75;Leerdam;;6943.75
4145 Leerdam;35;30;5;545;110;160;275;2.9;Leerdam;;1580.5
4147 Lingewaal;210;135;75;1115;215;370;530;2.68;Lingewaal;;2988.2
4151 Geldermalsen;30;25;10;230;40;85;100;2.66;Geldermalsen;;611.8
4152 Geldermalsen;30;20;10;255;50;100;105;2.55;Geldermalsen;;650.25
4153 Geldermalsen;190;135;50;1355;300;405;645;2.66;Geldermalsen;;3604.3
4155 Geldermalsen;10;10;0;125;20;50;50;2.53;Geldermalsen;;316.25
4156 Geldermalsen;50;40;5;345;75;125;145;2.58;Geldermalsen;;890.1
4157 Geldermalsen;55;40;15;220;45;70;110;2.74;Geldermalsen;;602.8
4158 Geldermalsen;130;110;20;815;165;275;385;2.63;Geldermalsen;;2143.45
4161 Lingewaal;180;95;85;905;190;315;400;2.59;Lingewaal;;2343.95
4163 Leerdam;20;10;15;90;15;35;35;2.53;Leerdam;;227.7
4171 Lingewaal;145;85;55;905;175;310;430;2.69;Lingewaal;;2434.45
4174 Neerijnen;40;25;15;325;70;95;160;2.75;Neerijnen;;893.75
4175 Neerijnen;180;95;90;1005;220;340;435;2.58;Neerijnen;;2592.9
4176 Neerijnen;50;35;10;230;50;65;115;2.81;Neerijnen;;646.3
4181 Neerijnen;105;70;35;830;165;265;400;2.84;Neerijnen;;2357.2
4182 Neerijnen;20;20;0;155;25;45;80;3.07;Neerijnen;;475.85
4184 Neerijnen;70;65;5;435;90;145;195;2.58;Neerijnen;;1122.3
4185 Neerijnen;25;20;5;210;35;75;110;2.85;Neerijnen;;598.5
4191 Geldermalsen;970;495;475;4195;1135;1375;1690;2.48;Geldermalsen;;10403.6
4194 Geldermalsen;215;150;65;1265;240;425;600;2.74;Geldermalsen;;3466.1
4196 Geldermalsen;200;105;95;825;160;270;400;2.74;Geldermalsen;;2260.5
4197 Geldermalsen;35;35;10;400;95;125;180;2.62;Geldermalsen;;1048
4201 Gorinchem;1000;550;455;2830;1490;765;575;1.77;Gorinchem;;5009.1
4202 Gorinchem;5;5;5;35;5;15;15;2.35;Gorinchem;;82.25
4203 Gorinchem;10;5;0;80;35;25;20;2.1;Gorinchem;;168
4204 Gorinchem;1550;475;1075;2725;1365;850;520;1.8;Gorinchem;;4905
4205 Gorinchem;3430;1030;2395;4105;1360;1230;1510;2.31;Gorinchem;;9482.55
4206 Gorinchem;365;165;200;1015;370;305;335;2.16;Gorinchem;;2192.4
4207 Gorinchem;1350;860;485;3745;600;1055;2085;2.86;Gorinchem;;10710.7
4209 Giessenlanden;80;55;30;450;80;165;210;2.67;Giessenlanden;;1201.5
4211 Lingewaal;55;30;25;295;65;105;125;2.64;Lingewaal;;778.8
4212 Lingewaal;5;5;0;40;5;10;25;2.85;Lingewaal;;114
4213 Gorinchem;140;65;70;425;120;105;200;2.56;Gorinchem;;1088
4214 Lingewaal;150;80;70;815;175;280;360;2.55;Lingewaal;;2078.25
4221 Giessenlanden;80;50;25;570;115;215;240;2.62;Giessenlanden;;1493.4
4223 Giessenlanden;100;80;25;625;155;205;265;2.56;Giessenlanden;;1600
4225 Giessenlanden;60;45;15;615;140;185;295;2.88;Giessenlanden;;1771.2
4231 Zederik;150;90;55;1310;300;405;605;2.73;Zederik;;3576.3
4233 Zederik;105;70;40;1105;270;345;495;2.6;Zederik;;2873
4235 Zederik;20;15;5;245;30;95;125;2.97;Zederik;;727.65
4241 Giessenlanden;290;215;70;1420;330;525;565;2.45;Giessenlanden;;3479
4243 Zederik;30;15;15;355;70;120;165;2.9;Zederik;;1029.5
4245 Zederik;50;25;25;485;70;145;270;3.31;Zederik;;1605.35
4247 Leerdam;65;55;15;325;65;115;145;2.66;Leerdam;;864.5
4251 Werkendam;380;245;125;4030;905;1220;1905;2.76;Werkendam;;11122.8
4254 Werkendam;330;230;100;2020;360;700;960;2.7;Werkendam;;5454
4255 Werkendam;150;100;50;1380;335;450;590;2.52;Werkendam;;3477.6
4261 Aalburg;230;160;70;1950;400;540;1015;2.93;Aalburg;;5713.5
4264 Aalburg;95;60;35;825;180;230;415;2.91;Aalburg;;2400.75
4265 Aalburg;70;60;10;600;120;180;300;2.79;Aalburg;;1674
4266 Aalburg;25;20;5;280;55;90;135;2.66;Aalburg;;744.8
4267 Aalburg;15;10;5;150;20;65;65;2.66;Aalburg;;399
4268 Aalburg;15;15;5;270;55;85;135;2.82;Aalburg;;761.4
4269 Aalburg;10;5;0;135;25;45;70;2.89;Aalburg;;390.15
4271 Werkendam;120;95;25;985;205;345;425;2.5;Werkendam;;2462.5
4273 Werkendam;255;175;85;1485;285;525;670;2.58;Werkendam;;3831.3
4281 Woudrichem;95;75;20;885;175;280;440;2.81;Woudrichem;;2486.85
4283 Woudrichem;60;45;10;590;100;210;280;2.74;Woudrichem;;1616.6
4284 Woudrichem;80;60;20;655;125;225;305;2.65;Woudrichem;;1735.75
4285 Woudrichem;320;245;70;1690;385;545;760;2.55;Woudrichem;;4309.5
4286 Woudrichem;165;120;45;1330;325;385;625;2.65;Woudrichem;;3524.5
4287 Woudrichem;0;0;0;85;15;20;40;2.85;Woudrichem;;242.25
4288 Woudrichem;10;10;0;115;15;45;50;2.64;Woudrichem;;303.6
4301 Schouwen-Duiveland;985;675;315;4285;1475;1395;1415;2.2;Schouwen-Duiveland;;9427
4302 Schouwen-Duiveland;40;30;5;275;55;90;130;2.75;Schouwen-Duiveland;;756.25
4303 Schouwen-Duiveland;15;5;10;55;5;25;25;2.83;Schouwen-Duiveland;;155.65
4305 Schouwen-Duiveland;50;45;5;300;80;125;95;2.33;Schouwen-Duiveland;;699
4306 Schouwen-Duiveland;120;95;30;990;235;330;425;2.65;Schouwen-Duiveland;;2623.5
4307 Schouwen-Duiveland;140;95;45;890;195;285;415;2.77;Schouwen-Duiveland;;2465.3
4308 Schouwen-Duiveland;20;25;0;145;40;50;60;2.49;Schouwen-Duiveland;;361.05
4311 Schouwen-Duiveland;245;185;50;1575;400;565;610;2.48;Schouwen-Duiveland;;3906
4315 Schouwen-Duiveland;95;75;20;425;120;155;145;2.35;Schouwen-Duiveland;;998.75
4316 Schouwen-Duiveland;80;75;10;335;90;130;115;2.36;Schouwen-Duiveland;;790.6
4317 Schouwen-Duiveland;60;55;5;345;90;145;110;2.3;Schouwen-Duiveland;;793.5
4318 Schouwen-Duiveland;130;100;30;700;250;265;185;2.07;Schouwen-Duiveland;;1449
4321 Schouwen-Duiveland;25;15;10;395;80;140;170;2.65;Schouwen-Duiveland;;1046.75
4322 Schouwen-Duiveland;110;90;20;595;150;265;180;2.26;Schouwen-Duiveland;;1344.7
4323 Schouwen-Duiveland;25;20;10;155;30;75;50;2.23;Schouwen-Duiveland;;345.65
4325 Schouwen-Duiveland;115;95;20;770;260;315;195;2.06;Schouwen-Duiveland;;1586.2
4326 Schouwen-Duiveland;20;20;5;140;30;60;50;2.33;Schouwen-Duiveland;;326.2
4327 Schouwen-Duiveland;40;30;5;140;40;60;40;2.23;Schouwen-Duiveland;;312.2
4328 Schouwen-Duiveland;595;400;195;2155;655;920;580;2.13;Schouwen-Duiveland;;4590.15
4331 Middelburg;980;745;230;3515;1885;1020;605;1.75;Middelburg;;6151.25
4332 Middelburg;560;350;210;1820;660;590;575;2.13;Middelburg;;3876.6
4333 Middelburg;420;295;120;2110;570;755;785;2.45;Middelburg;;5169.5
4334 Middelburg;270;215;60;1340;500;460;380;2.1;Middelburg;;2814
4335 Middelburg;1860;940;920;3525;1550;925;1045;2.02;Middelburg;;7120.5
4336 Middelburg;1455;650;805;3150;835;985;1335;2.44;Middelburg;;7686
4337 Middelburg;1645;720;920;3050;1190;795;1065;2.16;Middelburg;;6588
4338 Middelburg;5;5;5;25;5;5;15;2.77;Middelburg;;69.25
4339 Middelburg;110;90;20;590;150;220;225;2.35;Middelburg;;1386.5
4341 Middelburg;280;195;80;1960;445;585;930;2.77;Middelburg;;5429.2
4351 Veere;155;130;20;630;190;220;220;2.35;Veere;;1480.5
4352 Veere;35;25;5;195;40;80;75;2.52;Veere;;491.4
4353 Veere;105;85;20;740;175;250;310;2.53;Veere;;1872.2
4354 Veere;75;60;15;480;130;185;165;2.36;Veere;;1132.8
4356 Veere;180;140;40;1080;295;430;355;2.36;Veere;;2548.8
4357 Veere;150;120;30;695;275;245;175;2.03;Veere;;1410.85
4361 Veere;135;110;25;1135;335;390;410;2.33;Veere;;2644.55
4363 Veere;40;35;10;440;75;130;240;3.26;Veere;;1434.4
4364 Veere;85;65;20;515;110;180;225;2.6;Veere;;1339
4365 Veere;55;20;35;465;90;135;230;3.11;Veere;;1446.15
4371 Veere;330;255;70;1425;335;585;505;2.36;Veere;;3363
4373 Veere;60;45;15;355;85;130;145;2.54;Veere;;901.7
4374 Veere;95;85;10;660;190;255;215;2.32;Veere;;1531.2
4381 Vlissingen;1600;945;655;4410;2650;1120;640;1.6;Vlissingen;;7056
4382 Vlissingen;2365;960;1395;4460;2275;1260;925;1.78;Vlissingen;;7938.8
4383 Vlissingen;950;370;590;1350;615;350;385;1.94;Vlissingen;;2619
4384 Vlissingen;1015;600;410;2665;800;995;870;2.2;Vlissingen;;5863
4385 Vlissingen;1315;715;600;2380;580;760;1050;2.46;Vlissingen;;5854.8
4386 Vlissingen;550;375;165;1435;290;475;665;2.61;Vlissingen;;3745.35
4387 Vlissingen;50;40;10;155;30;55;65;2.54;Vlissingen;;393.7
4388 Vlissingen;2015;1270;750;4540;1300;1570;1670;2.31;Vlissingen;;10487.4
4389 Vlissingen;45;35;10;230;50;85;95;2.58;Vlissingen;;593.4
4401 Reimerswaal;475;265;210;2505;645;810;1050;2.57;Reimerswaal;;6437.85
4411 Reimerswaal;515;290;220;1275;385;435;465;2.38;Reimerswaal;;3034.5
4413 Reimerswaal;280;140;140;1510;380;475;655;2.75;Reimerswaal;;4152.5
4414 Reimerswaal;40;35;5;425;90;135;200;2.91;Reimerswaal;;1236.75
4415 Reimerswaal;25;25;5;140;20;45;80;3.38;Reimerswaal;;473.2
4416 Reimerswaal;315;235;75;1425;380;460;585;2.7;Reimerswaal;;3847.5
4417 Reimerswaal;270;210;60;770;255;260;255;2.22;Reimerswaal;;1709.4
4421 Kapelle;480;340;140;3015;630;1020;1360;2.68;Kapelle;;8080.2
4423 Kapelle;55;35;20;210;50;75;85;2.39;Kapelle;;501.9
4424 Kapelle;235;185;55;1280;340;450;490;2.36;Kapelle;;3020.8
4431 Borsele;230;140;90;1575;350;500;730;2.84;Borsele;;4473
4433 Borsele;60;50;10;300;95;95;110;2.44;Borsele;;732
4434 Borsele;75;60;20;390;100;135;155;2.41;Borsele;;939.9
4435 Borsele;35;30;5;250;60;100;90;2.54;Borsele;;635
4436 Borsele;50;45;5;300;80;95;120;2.46;Borsele;;738
4437 Borsele;40;35;10;195;50;75;55;2.16;Borsele;;421.2
4438 Borsele;35;25;10;235;55;100;85;2.39;Borsele;;561.65
4441 Borsele;100;90;15;535;165;180;190;2.28;Borsele;;1219.8
4443 Borsele;20;20;0;245;50;100;95;2.54;Borsele;;622.3
4444 Borsele;20;15;5;205;35;85;80;2.56;Borsele;;524.8
4451 Borsele;400;305;95;2060;485;700;870;2.49;Borsele;;5129.4
4453 Borsele;145;110;35;845;230;295;320;2.34;Borsele;;1977.3
4454 Borsele;95;90;10;515;130;170;215;2.82;Borsele;;1452.3
4455 Borsele;65;50;15;475;145;135;195;2.56;Borsele;;1216
4456 Borsele;140;110;30;695;190;240;260;2.42;Borsele;;1681.9
