"Bevolking en huishoudens; viercijferige postcode, 1 januari 2006";;;;;;;;;;;
Onderwerpen;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Allochtonen naar herkomstgroepering;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Particuliere huishoudens: samenstelling;Lokalisering van de postcode;;
Onderwerpen;Totaal allochtonen;Westerse allochtonen;Niet-westerse allochtonen;Totaal particuliere huishoudens;Eenpersoonshuishoudens;Meerpersoonshuishoudens zonder kinderen;Meerpersoonshuishoudens met kinderen;Gemiddelde huishoudensgrootte;Gemeentenaam;;totaalpers
Postcodes op 1 januari;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;naam;;
2495 's-Gravenhage;45;30;10;80;25;30;30;2.3;'s-Gravenhage;;184
2496 's-Gravenhage;2595;900;1705;2980;460;840;1680;2.8;'s-Gravenhage;;8344
2497 's-Gravenhage;3045;910;2135;3355;660;855;1840;2.72;'s-Gravenhage;;9125.6
2498 's-Gravenhage;760;290;470;1015;140;265;605;2.79;'s-Gravenhage;;2831.85
2511 's-Gravenhage;1705;715;995;2410;1640;440;330;1.52;'s-Gravenhage;;3663.2
2512 's-Gravenhage;8350;1530;6820;7545;4640;1245;1660;1.74;'s-Gravenhage;;13128.3
2513 's-Gravenhage;2975;1210;1765;4315;2570;890;855;1.67;'s-Gravenhage;;7206.05
2514 's-Gravenhage;1225;950;275;1990;1310;450;225;1.51;'s-Gravenhage;;3004.9
2515 's-Gravenhage;7870;990;6880;5945;3300;1025;1620;1.89;'s-Gravenhage;;11236.05
2516 's-Gravenhage;6575;700;5875;4345;2375;695;1280;1.93;'s-Gravenhage;;8385.85
2517 's-Gravenhage;2595;1790;810;4695;2885;965;845;1.67;'s-Gravenhage;;7840.65
2518 's-Gravenhage;4675;1995;2680;6635;4440;1090;1110;1.59;'s-Gravenhage;;10549.65
2521 's-Gravenhage;4910;655;4255;3735;2025;660;1040;1.9;'s-Gravenhage;;7096.5
2522 's-Gravenhage;5935;1260;4675;5950;2915;1375;1670;1.91;'s-Gravenhage;;11364.5
2523 's-Gravenhage;2845;460;2385;2555;1205;520;830;2.01;'s-Gravenhage;;5135.55
2524 's-Gravenhage;3555;400;3150;2635;1225;455;960;2.09;'s-Gravenhage;;5507.15
2525 's-Gravenhage;14455;615;13835;6680;2810;980;2890;2.41;'s-Gravenhage;;16098.8
2526 's-Gravenhage;12000;410;11590;5580;2340;875;2365;2.38;'s-Gravenhage;;13280.4
2531 's-Gravenhage;4655;725;3935;4545;2555;825;1165;1.8;'s-Gravenhage;;8181
2532 's-Gravenhage;3035;425;2605;3060;1810;575;675;1.67;'s-Gravenhage;;5110.2
2533 's-Gravenhage;3715;620;3090;3790;1995;780;1010;1.8;'s-Gravenhage;;6822
2541 's-Gravenhage;3910;735;3165;3985;2160;745;1070;1.8;'s-Gravenhage;;7173
2542 's-Gravenhage;4465;700;3765;4040;1940;905;1200;1.97;'s-Gravenhage;;7958.8
2543 's-Gravenhage;3345;505;2840;2840;1230;640;975;2.08;'s-Gravenhage;;5907.2
2544 's-Gravenhage;6145;895;5250;5535;2730;1245;1555;1.94;'s-Gravenhage;;10737.9
2545 's-Gravenhage;4115;940;3175;5370;2915;1235;1225;1.77;'s-Gravenhage;;9504.9
