"";"Geslacht";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Mannen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen";"Vrouwen"
"";"Onderwerpen";"Totaal personen in huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in particuliere huishoudens";"Personen in institutionele huishoudens"
"";"Onderwerpen";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Samenwonend";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens"
"";"Onderwerpen";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Totaal samenwonende personen";"Partner in niet-gehuwd paar zonder ki...";"Partner in gehuwd paar zonder kinderen";"Partner in niet-gehuwd paar met kinderen";"Partner in gehuwd paar met kinderen";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens";"Totaal personen in huishoudens";"Totaal in particuliere huishoudens";"Thuiswonend kind";"Alleenstaand";"Totaal samenwonende personen";"Partner in niet-gehuwd paar zonder ki...";"Partner in gehuwd paar zonder kinderen";"Partner in niet-gehuwd paar met kinderen";"Partner in gehuwd paar met kinderen";"Ouder in eenouderhuishouden";"Overig lid huishouden";"Personen in institutionele huishoudens"
"Regio's";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Nederland";"50 tot 55 jaar";"564124";"559426";"6620";"83375";"446614";"26837";"127766";"16780";"275231";"15461";"7356";"4698";"555401";"552069";"2235";"70691";"431128";"25034";"184860";"9893";"211341";"41806";"6209";"3332"
"Nederland";"55 tot 60 jaar";"579927";"575589";"3592";"80398";"472093";"26185";"278619";"8062";"159227";"10616";"8890";"4338";"567685";"564590";"1388";"97392";"436126";"22700";"314766";"3122";"95538";"21460";"8224";"3095"
"Nederland";"60 tot 65 jaar";"420695";"417770";"1142";"56432";"347696";"16291";"270151";"2520";"58734";"4626";"7874";"2925";"417600";"415291";"489";"90543";"307263";"13823";"260428";"795";"32217";"9629";"7367";"2309"
"Nederland";"65 tot 70 jaar";"338845";"335912";"363";"48373";"276989";"11976";"236768";"961";"27284";"2832";"7355";"2933";"357101";"354110";"164";"100886";"238786";"10525";"212426";"347";"15488";"7304";"6970";"2991"
"Nederland";"70 tot 75 jaar";"266238";"262633";"61";"42629";"212089";"8200";"189232";"370";"14287";"2063";"5791";"3605";"313026";"307509";"47";"119668";"173185";"7891";"156023";"201";"9070";"7730";"6879";"5517"
"Nederland";"75 tot 80 jaar";"195660";"190494";"9";"38222";"146413";"5497";"132938";"155";"7823";"1804";"4046";"5166";"272573";"260696";"11";"136899";"108871";"5634";"98300";"136";"4801";"7937";"6978";"11877"
"Nederland";"80 tot 85 jaar";"120325";"113115";"1";"30596";"78572";"3084";"71983";"62";"3443";"1384";"2562";"7210";"216090";"192306";"1";"128098";"51150";"3479";"45638";"108";"1925";"6739";"6318";"23784"
"Nederland";"85 tot 90 jaar";"50508";"43460";"-";"16095";"25395";"1161";"23231";"18";"985";"720";"1250";"7048";"120861";"92432";"-";"70955";"13515";"1690";"11336";"55";"434";"3726";"4236";"28429"
"Nederland";"90 tot 95 jaar";"14692";"10653";"-";"5228";"4624";"300";"4124";"5";"195";"297";"504";"4039";"49706";"30243";"-";"24714";"2171";"616";"1491";"20";"44";"1399";"1959";"19463"
"Nederland";"95 jaar of ouder";"2498";"1498";"-";"925";"423";"50";"354";"2";"17";"63";"87";"1000";"12336";"5812";"-";"4674";"239";"145";"82";"9";"3";"385";"514";"6524"
"Aa en Hunze";"Totaal leeftijden";"12618";"12407";"3755";"1041";"7384";"728";"3286";"457";"2913";"99";"128";"211";"12889";"12683";"3184";"1545";"7458";"770";"3306";"467";"2915";"359";"137";"206"
"Aa en Hunze";"0 tot 5 jaar";"706";"706";"700";" ";" ";" ";" ";" ";" ";" ";"6";"-";"716";"716";"712";" ";" ";" ";" ";" ";" ";" ";"4";"-"
"Aa en Hunze";"5 tot 10 jaar";"825";"824";"822";" ";" ";" ";" ";" ";" ";" ";"2";"1";"767";"766";"758";" ";" ";" ";" ";" ";" ";" ";"8";"1"
"Aa en Hunze";"10 tot 15 jaar";"807";"807";"804";" ";" ";" ";" ";" ";" ";" ";"3";"-";"814";"813";"812";" ";" ";" ";" ";" ";" ";" ";"1";"1"
"Aa en Hunze";"15 tot 20 jaar";"721";"717";"702";"10";"2";"2";"-";"-";"-";"-";"3";"4";"638";"635";"607";"11";"7";"6";"-";"-";"1";"-";"10";"3"
"Aa en Hunze";"20 tot 25 jaar";"487";"482";"385";"42";"47";"39";"2";"2";"4";"-";"8";"5";"364";"362";"195";"33";"119";"95";"7";"10";"7";"4";"11";"2"
"Aa en Hunze";"25 tot 30 jaar";"419";"417";"143";"55";"213";"126";"18";"27";"42";"2";"4";"2";"442";"440";"54";"49";"321";"138";"42";"47";"94";"11";"5";"2"
"Aa en Hunze";"30 tot 35 jaar";"640";"631";"63";"87";"475";"125";"62";"89";"199";"1";"5";"9";"688";"682";"16";"33";"607";"113";"59";"119";"316";"23";"3";"6"
"Aa en Hunze";"35 tot 40 jaar";"882";"859";"42";"84";"725";"80";"55";"130";"460";"6";"2";"23";"938";"930";"5";"36";"835";"67";"57";"129";"582";"51";"3";"8"
"Aa en Hunze";"40 tot 45 jaar";"1049";"1022";"40";"89";"872";"72";"60";"101";"639";"14";"7";"27";"1065";"1057";"9";"45";"928";"57";"84";"95";"692";"67";"8";"8"
"Aa en Hunze";"45 tot 50 jaar";"1073";"1036";"29";"94";"880";"52";"121";"59";"648";"27";"6";"37";"1049";"1046";"8";"67";"898";"68";"174";"44";"612";"67";"6";"3"
"Aa en Hunze";"50 tot 55 jaar";"1070";"1034";"9";"100";"892";"53";"311";"27";"501";"24";"9";"36";"1019";"1015";"1";"81";"886";"51";"461";"20";"354";"40";"7";"4"
"Aa en Hunze";"55 tot 60 jaar";"1130";"1106";"11";"95";"980";"60";"660";"18";"242";"7";"13";"24";"1129";"1122";"6";"116";"967";"50";"762";"1";"154";"21";"12";"7"
"Aa en Hunze";"60 tot 65 jaar";"829";"824";"5";"90";"709";"38";"579";"1";"91";"5";"15";"5";"779";"778";"1";"124";"631";"39";"549";"-";"43";"13";"9";"1"
"Aa en Hunze";"65 tot 70 jaar";"700";"699";"-";"59";"625";"33";"554";"3";"35";"3";"12";"1";"680";"679";"-";"127";"534";"34";"470";"1";"29";"12";"6";"1"
"Aa en Hunze";"70 tot 75 jaar";"521";"518";"-";"52";"451";"21";"403";"-";"27";"1";"14";"3";"598";"593";"-";"204";"367";"22";"333";"-";"12";"10";"12";"5"
"Aa en Hunze";"75 tot 80 jaar";"385";"380";"-";"73";"302";"14";"274";"-";"14";"-";"5";"5";"489";"474";"-";"224";"227";"19";"192";"1";"15";"15";"8";"15"
"Aa en Hunze";"80 tot 85 jaar";"231";"220";"-";"60";"149";"9";"132";"-";"8";"5";"6";"11";"369";"335";"-";"218";"95";"8";"84";"-";"3";"12";"10";"34"
"Aa en Hunze";"85 tot 90 jaar";"110";"103";"-";"43";"52";"3";"46";"-";"3";"3";"5";"7";"228";"175";"-";"126";"32";"3";"28";"-";"1";"6";"11";"53"
"Aa en Hunze";"90 tot 95 jaar";"31";"22";"-";"8";"10";"1";"9";"-";"-";"1";"3";"9";"101";"61";"-";"48";"4";"-";"4";"-";"-";"6";"3";"40"
"Aa en Hunze";"95 jaar of ouder";"2";"0";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"16";"4";"-";"3";"-";"-";"-";"-";"-";"1";"-";"12"
"Aalburg";"Totaal leeftijden";"6138";"6104";"2489";"352";"3153";"164";"1047";"81";"1861";"46";"64";"34";"6084";"5995";"2118";"498";"3157";"170";"1045";"81";"1861";"149";"73";"89"
"Aalburg";"0 tot 5 jaar";"449";"449";"446";" ";" ";" ";" ";" ";" ";" ";"3";"-";"430";"430";"427";" ";" ";" ";" ";" ";" ";" ";"3";"-"
"Aalburg";"5 tot 10 jaar";"492";"492";"489";" ";" ";" ";" ";" ";" ";" ";"3";"-";"457";"457";"455";" ";" ";" ";" ";" ";" ";" ";"2";"-"
"Aalburg";"10 tot 15 jaar";"473";"473";"471";" ";" ";" ";" ";" ";" ";" ";"2";"-";"483";"483";"479";" ";" ";" ";" ";" ";" ";" ";"4";"-"
"Aalburg";"15 tot 20 jaar";"439";"439";"435";"1";"-";"-";"-";"-";"-";"-";"3";"-";"427";"427";"416";"5";"3";"1";"1";"-";"1";"-";"3";"-"
"Aalburg";"20 tot 25 jaar";"388";"388";"352";"14";"22";"5";"10";"3";"4";"-";"-";"-";"351";"350";"251";"8";"84";"31";"35";"2";"16";"3";"4";"1"
"Aalburg";"25 tot 30 jaar";"348";"347";"166";"20";"156";"48";"57";"4";"47";"-";"5";"1";"322";"322";"53";"27";"233";"39";"60";"14";"120";"6";"3";"-"
"Aalburg";"30 tot 35 jaar";"395";"395";"60";"32";"300";"26";"42";"20";"212";"1";"2";"-";"424";"424";"19";"22";"371";"36";"41";"21";"273";"8";"4";"-"
"Aalburg";"35 tot 40 jaar";"523";"521";"33";"39";"441";"39";"41";"24";"337";"5";"3";"2";"515";"514";"10";"16";"468";"16";"36";"21";"395";"18";"2";"1"
"Aalburg";"40 tot 45 jaar";"471";"469";"14";"40";"411";"15";"39";"14";"343";"3";"1";"2";"444";"443";"3";"11";"409";"13";"36";"13";"347";"20";"-";"1"
"Aalburg";"45 tot 50 jaar";"412";"411";"10";"30";"362";"11";"27";"8";"316";"6";"3";"1";"381";"378";"1";"21";"332";"8";"47";"6";"271";"20";"4";"3"
"Aalburg";"50 tot 55 jaar";"388";"385";"8";"23";"344";"6";"82";"6";"250";"9";"1";"3";"375";"372";"2";"18";"336";"10";"105";"3";"218";"13";"3";"3"
"Aalburg";"55 tot 60 jaar";"413";"413";"3";"30";"364";"4";"162";"1";"197";"10";"6";"-";"390";"386";"-";"39";"323";"7";"195";"-";"121";"16";"8";"4"
