Regionale kerncijfers Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerpen;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking
Abcoude;2006;8670;4265;4405;631;707;615;515;262;2217;2407;1063;253;3853;3996;430;391;7350;1320;903;417;5;42;94;10;266;8660.5;3450;921;1050;1479;2.51
Achtkarspelen;2006;28223;14327;13896;1903;1813;1747;1891;1701;7787;7484;3030;867;12489;13045;1125;1564;27381;842;573;269;14;16;21;9;209;28183;11170;2844;3538;4788;2.51
Alblasserdam;2006;18426;8966;9460;1338;1256;1259;1103;986;5045;4442;2217;780;7516;8883;796;1231;16081;2345;1265;1080;117;64;74;547;278;18546;7338;2034;2287;3017;2.49
Albrandswaard;2006;21059;10510;10549;1395;1359;1367;1233;799;6325;5888;2083;610;8943;10089;1128;899;18056;3003;1520;1483;94;119;653;159;458;21291;8246;1836;2832;3578;2.49
Alkemade;2006;14512;7315;7197;874;962;1042;947;813;3917;4043;1502;412;6604;6652;584;672;13590;922;549;373;53;22;49;8;241;14524;5566;1372;1696;2498;2.6
Alkmaar;2006;94455;46325;48130;5632;5107;5451;5777;5999;28768;25265;9121;3335;45849;36349;7675;4582;73947;20508;9247;11261;1690;1136;1412;2752;4271;94314.5;43564;16993;12069;14502;2.14
Almelo;2006;72048;35628;36420;4672;4564;4369;4467;4130;20939;18424;7995;2488;31846;31464;4390;4348;55414;16634;7075;9559;504;270;299;5874;2612;72072;30718;9833;9368;11517;2.32
Almere;2006;178466;88519;89947;14108;13718;13558;12503;11147;59892;40790;9975;2775;90524;69619;13462;4861;116576;61890;17063;44827;5682;4208;18534;2816;13587;179695;71633;19731;18157;33745;2.48
Alphen aan den Rijn;2006;70955;34994;35961;4521;4564;4552;4418;4147;21882;18773;6194;1904;33070;30726;4177;2982;57460;13495;6256;7239;1793;699;1264;835;2648;71027.5;29392;8862;9022;11508;2.37
Alphen-Chaam;2006;9491;4803;4688;551;613;672;564;449;2418;2838;1107;279;3927;4791;314;459;8311;1180;1043;137;3;12;6;2;114;9476;3622;752;1263;1607;2.62
Ambt Montfort;2006;10998;5472;5526;522;571;632;614;527;2792;3556;1379;405;4158;5677;485;678;9510;1488;1329;159;14;11;14;1;119;10953.5;4440;998;1669;1773;2.43
Ameland;2006;3475;1757;1718;206;244;224;137;171;975;1011;371;136;1556;1577;143;199;3280;195;148;47;3;5;1;0;38;3467.5;1485;498;441;546;2.31
Amersfoort;2006;136999;66944;70055;10440;9781;8640;7745;7248;45426;31685;11508;4526;67005;54902;8886;6206;106910;30089;11614;18475;3983;1623;1500;5589;5780;138026.5;58880;20810;16083;21987;2.3
Amstelveen;2006;78774;37312;41462;4172;4636;4461;4119;4459;21655;20601;10253;4418;36376;31877;5345;5176;55247;23527;13848;9679;645;723;2005;460;5846;78859.5;38246;16835;9873;11538;2.04
Amsterdam;2006;743079;366128;376951;46267;37879;34529;37748;53057;274517;175198;59346;24538;438840;201034;72076;31129;383081;359998;104899;255099;65462;11346;69624;38339;70328;742981.5;410201;228580;81737;99884;1.8
Andijk;2006;6470;3316;3154;394;432;411;426;342;1678;1997;618;172;2811;3057;321;281;5941;529;373;156;3;9;26;4;114;6531.5;2583;681;867;1035;2.49
