"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Hunsel";"2006";"25 tot 30 jaar";"244";"126";"118";"181";"110";"71";"63";"16";"47";"-";"-";"-";"-";"-";"-";"0925"
"Hunsel";"2006";"30 tot 35 jaar";"352";"177";"175";"136";"86";"50";"207";"89";"118";"-";"-";"-";"9";"2";"7";"0925"
"Hunsel";"2006";"35 tot 40 jaar";"511";"250";"261";"96";"61";"35";"395";"182";"213";"-";"-";"-";"20";"7";"13";"0925"
"Hunsel";"2006";"40 tot 45 jaar";"595";"306";"289";"73";"46";"27";"482";"237";"245";"1";"1";"-";"39";"22";"17";"0925"
"Hunsel";"2006";"45 tot 50 jaar";"572";"286";"286";"50";"36";"14";"475";"229";"246";"8";"-";"8";"39";"21";"18";"0925"
"Hunsel";"2006";"50 tot 55 jaar";"478";"255";"223";"33";"20";"13";"395";"211";"184";"19";"4";"15";"31";"20";"11";"0925"
"Hunsel";"2006";"55 tot 60 jaar";"447";"226";"221";"16";"12";"4";"377";"195";"182";"22";"4";"18";"32";"15";"17";"0925"
"Hunsel";"2006";"60 tot 65 jaar";"322";"175";"147";"14";"11";"3";"262";"149";"113";"25";"5";"20";"21";"10";"11";"0925"
"Hunsel";"2006";"65 tot 70 jaar";"289";"147";"142";"8";"8";"-";"231";"123";"108";"36";"9";"27";"14";"7";"7";"0925"
"Hunsel";"2006";"70 tot 75 jaar";"210";"93";"117";"9";"5";"4";"138";"74";"64";"60";"12";"48";"3";"2";"1";"0925"
"Hunsel";"2006";"75 tot 80 jaar";"153";"64";"89";"6";"3";"3";"92";"52";"40";"51";"7";"44";"4";"2";"2";"0925"
"Hunsel";"2006";"80 tot 85 jaar";"94";"39";"55";"10";"3";"7";"41";"25";"16";"41";"9";"32";"2";"2";"-";"0925"
"Hunsel";"2006";"85 tot 90 jaar";"29";"12";"17";"1";"-";"1";"10";"8";"2";"18";"4";"14";"-";"-";"-";"0925"
"Hunsel";"2006";"90 tot 95 jaar";"9";"1";"8";"1";"-";"1";"-";"-";"-";"8";"1";"7";"-";"-";"-";"0925"
"Hunsel";"2006";"95 jaar of ouder";"1";"-";"1";"1";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0925"
"IJsselstein";"2006";"Totaal leeftijden";"33976";"16609";"17367";"16145";"8345";"7800";"14524";"7257";"7267";"1303";"209";"1094";"2004";"798";"1206";"0353"
"IJsselstein";"2006";"Jonger dan 5 jaar";"2794";"1429";"1365";"2794";"1429";"1365";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0353"
"IJsselstein";"2006";"5 tot 10 jaar";"2493";"1262";"1231";"2493";"1262";"1231";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0353"
"IJsselstein";"2006";"10 tot 15 jaar";"2327";"1191";"1136";"2327";"1191";"1136";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0353"
"IJsselstein";"2006";"15 tot 20 jaar";"1984";"1022";"962";"1979";"1021";"958";"5";"1";"4";"-";"-";"-";"-";"-";"-";"0353"
"IJsselstein";"2006";"20 tot 25 jaar";"1555";"777";"778";"1466";"752";"714";"87";"25";"62";"-";"-";"-";"2";"-";"2";"0353"
"IJsselstein";"2006";"25 tot 30 jaar";"2064";"930";"1134";"1466";"750";"716";"563";"171";"392";"1";"-";"1";"34";"9";"25";"0353"
"IJsselstein";"2006";"30 tot 35 jaar";"2980";"1405";"1575";"1289";"680";"609";"1568";"689";"879";"3";"-";"3";"120";"36";"84";"0353"
"IJsselstein";"2006";"35 tot 40 jaar";"3313";"1657";"1656";"970";"554";"416";"2098";"1007";"1091";"5";"2";"3";"240";"94";"146";"0353"
"IJsselstein";"2006";"40 tot 45 jaar";"2996";"1496";"1500";"547";"297";"250";"2100";"1046";"1054";"14";"5";"9";"335";"148";"187";"0353"
"IJsselstein";"2006";"45 tot 50 jaar";"2555";"1296";"1259";"315";"178";"137";"1857";"966";"891";"22";"7";"15";"361";"145";"216";"0353"
"IJsselstein";"2006";"50 tot 55 jaar";"2019";"998";"1021";"187";"105";"82";"1495";"757";"738";"47";"12";"35";"290";"124";"166";"0353"
"IJsselstein";"2006";"55 tot 60 jaar";"2124";"1031";"1093";"107";"51";"56";"1670";"861";"809";"87";"19";"68";"260";"100";"160";"0353"
"IJsselstein";"2006";"60 tot 65 jaar";"1427";"733";"694";"52";"28";"24";"1124";"618";"506";"104";"24";"80";"147";"63";"84";"0353"
"IJsselstein";"2006";"65 tot 70 jaar";"1030";"501";"529";"35";"14";"21";"777";"429";"348";"129";"21";"108";"89";"37";"52";"0353"
"IJsselstein";"2006";"70 tot 75 jaar";"876";"394";"482";"38";"15";"23";"592";"334";"258";"187";"24";"163";"59";"21";"38";"0353"
"IJsselstein";"2006";"75 tot 80 jaar";"666";"264";"402";"40";"9";"31";"340";"202";"138";"245";"35";"210";"41";"18";"23";"0353"
"IJsselstein";"2006";"80 tot 85 jaar";"470";"156";"314";"20";"5";"15";"188";"112";"76";"247";"37";"210";"15";"2";"13";"0353"
"IJsselstein";"2006";"85 tot 90 jaar";"213";"53";"160";"11";"3";"8";"54";"35";"19";"138";"14";"124";"10";"1";"9";"0353"
"IJsselstein";"2006";"90 tot 95 jaar";"70";"12";"58";"6";"1";"5";"5";"3";"2";"58";"8";"50";"1";"-";"1";"0353"
"IJsselstein";"2006";"95 jaar of ouder";"20";"2";"18";"3";"-";"3";"1";"1";"-";"16";"1";"15";"-";"-";"-";"0353"
"Jacobswoude";"2006";"Totaal leeftijden";"10797";"5496";"5301";"4640";"2576";"2064";"5256";"2628";"2628";"478";"103";"375";"423";"189";"234";"0645"
"Jacobswoude";"2006";"Jonger dan 5 jaar";"669";"352";"317";"669";"352";"317";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0645"
"Jacobswoude";"2006";"5 tot 10 jaar";"674";"375";"299";"674";"375";"299";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0645"
"Jacobswoude";"2006";"10 tot 15 jaar";"702";"374";"328";"702";"374";"328";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0645"
"Jacobswoude";"2006";"15 tot 20 jaar";"706";"358";"348";"706";"358";"348";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0645"
"Jacobswoude";"2006";"20 tot 25 jaar";"540";"274";"266";"516";"267";"249";"24";"7";"17";"-";"-";"-";"-";"-";"-";"0645"
"Jacobswoude";"2006";"25 tot 30 jaar";"460";"246";"214";"361";"217";"144";"97";"29";"68";"1";"-";"1";"1";"-";"1";"0645"
"Jacobswoude";"2006";"30 tot 35 jaar";"611";"302";"309";"289";"178";"111";"306";"119";"187";"-";"-";"-";"16";"5";"11";"0645"
"Jacobswoude";"2006";"35 tot 40 jaar";"898";"451";"447";"259";"158";"101";"594";"278";"316";"1";"-";"1";"44";"15";"29";"0645"
"Jacobswoude";"2006";"40 tot 45 jaar";"849";"423";"426";"162";"108";"54";"610";"289";"321";"11";"3";"8";"66";"23";"43";"0645"
"Jacobswoude";"2006";"45 tot 50 jaar";"884";"434";"450";"98";"61";"37";"712";"344";"368";"10";"6";"4";"64";"23";"41";"0645"
"Jacobswoude";"2006";"50 tot 55 jaar";"810";"423";"387";"51";"36";"15";"677";"345";"332";"15";"7";"8";"67";"35";"32";"0645"
"Jacobswoude";"2006";"55 tot 60 jaar";"915";"480";"435";"54";"38";"16";"771";"401";"370";"28";"8";"20";"62";"33";"29";"0645"
"Jacobswoude";"2006";"60 tot 65 jaar";"659";"340";"319";"26";"13";"13";"545";"294";"251";"43";"8";"35";"45";"25";"20";"0645"
"Jacobswoude";"2006";"65 tot 70 jaar";"529";"263";"266";"23";"18";"5";"416";"217";"199";"61";"15";"46";"29";"13";"16";"0645"
"Jacobswoude";"2006";"70 tot 75 jaar";"359";"185";"174";"21";"12";"9";"246";"145";"101";"70";"15";"55";"22";"13";"9";"0645"
"Jacobswoude";"2006";"75 tot 80 jaar";"253";"120";"133";"14";"8";"6";"147";"92";"55";"90";"18";"72";"2";"2";"-";"0645"
"Jacobswoude";"2006";"80 tot 85 jaar";"159";"55";"104";"6";"1";"5";"68";"40";"28";"81";"13";"68";"4";"1";"3";"0645"
"Jacobswoude";"2006";"85 tot 90 jaar";"88";"29";"59";"7";"2";"5";"33";"21";"12";"47";"5";"42";"1";"1";"-";"0645"
"Jacobswoude";"2006";"90 tot 95 jaar";"23";"11";"12";"-";"-";"-";"9";"6";"3";"14";"5";"9";"-";"-";"-";"0645"
"Jacobswoude";"2006";"95 jaar of ouder";"9";"1";"8";"2";"-";"2";"1";"1";"-";"6";"-";"6";"-";"-";"-";"0645"
"Kampen";"2006";"Totaal leeftijden";"49295";"24454";"24841";"22355";"11823";"10532";"22663";"11338";"11325";"2427";"464";"1963";"1850";"829";"1021";"0166"
"Kampen";"2006";"Jonger dan 5 jaar";"3668";"1894";"1774";"3668";"1894";"1774";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0166"
"Kampen";"2006";"5 tot 10 jaar";"3443";"1771";"1672";"3443";"1771";"1672";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0166"
"Kampen";"2006";"10 tot 15 jaar";"3368";"1670";"1698";"3368";"1670";"1698";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0166"
"Kampen";"2006";"15 tot 20 jaar";"3354";"1718";"1636";"3347";"1718";"1629";"7";"-";"7";"-";"-";"-";"-";"-";"-";"0166"
"Kampen";"2006";"20 tot 25 jaar";"3269";"1649";"1620";"2852";"1521";"1331";"411";"126";"285";"-";"-";"-";"6";"2";"4";"0166"
"Kampen";"2006";"25 tot 30 jaar";"3380";"1695";"1685";"1939";"1115";"824";"1407";"569";"838";"1";"-";"1";"33";"11";"22";"0166"
"Kampen";"2006";"30 tot 35 jaar";"3387";"1758";"1629";"1113";"697";"416";"2153";"1012";"1141";"5";"2";"3";"116";"47";"69";"0166"
"Kampen";"2006";"35 tot 40 jaar";"3832";"1964";"1868";"797";"474";"323";"2798";"1384";"1414";"7";"2";"5";"230";"104";"126";"0166"
"Kampen";"2006";"40 tot 45 jaar";"3587";"1801";"1786";"535";"321";"214";"2757";"1357";"1400";"21";"5";"16";"274";"118";"156";"0166"
"Kampen";"2006";"45 tot 50 jaar";"3310";"1628";"1682";"389";"190";"199";"2556";"1277";"1279";"44";"11";"33";"321";"150";"171";"0166"
"Kampen";"2006";"50 tot 55 jaar";"3024";"1541";"1483";"248";"135";"113";"2444";"1267";"1177";"61";"20";"41";"271";"119";"152";"0166"
"Kampen";"2006";"55 tot 60 jaar";"2981";"1487";"1494";"206";"118";"88";"2431";"1222";"1209";"123";"39";"84";"221";"108";"113";"0166"
"Kampen";"2006";"60 tot 65 jaar";"2245";"1121";"1124";"129";"71";"58";"1811";"946";"865";"160";"36";"124";"145";"68";"77";"0166"
"Kampen";"2006";"65 tot 70 jaar";"1973";"982";"991";"103";"59";"44";"1557";"823";"734";"219";"49";"170";"94";"51";"43";"0166"
"Kampen";"2006";"70 tot 75 jaar";"1591";"733";"858";"76";"37";"39";"1112";"622";"490";"343";"52";"291";"60";"22";"38";"0166"
"Kampen";"2006";"75 tot 80 jaar";"1237";"535";"702";"56";"20";"36";"699";"417";"282";"441";"80";"361";"41";"18";"23";"0166"
"Kampen";"2006";"80 tot 85 jaar";"954";"320";"634";"51";"7";"44";"379";"219";"160";"500";"87";"413";"24";"7";"17";"0166"
"Kampen";"2006";"85 tot 90 jaar";"489";"145";"344";"23";"5";"18";"122";"83";"39";"330";"53";"277";"14";"4";"10";"0166"
"Kampen";"2006";"90 tot 95 jaar";"164";"35";"129";"11";"-";"11";"18";"13";"5";"135";"22";"113";"-";"-";"-";"0166"
"Kampen";"2006";"95 jaar of ouder";"39";"7";"32";"1";"-";"1";"1";"1";"-";"37";"6";"31";"-";"-";"-";"0166"
"Kapelle";"2006";"Totaal leeftijden";"11755";"5799";"5956";"4792";"2542";"2250";"5873";"2935";"2938";"618";"128";"490";"472";"194";"278";"0678"
"Kapelle";"2006";"Jonger dan 5 jaar";"785";"390";"395";"785";"390";"395";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0678"
"Kapelle";"2006";"5 tot 10 jaar";"819";"412";"407";"819";"412";"407";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0678"
"Kapelle";"2006";"10 tot 15 jaar";"838";"404";"434";"838";"404";"434";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0678"
"Kapelle";"2006";"15 tot 20 jaar";"728";"388";"340";"727";"388";"339";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0678"
"Kapelle";"2006";"20 tot 25 jaar";"557";"307";"250";"503";"290";"213";"53";"17";"36";"-";"-";"-";"1";"-";"1";"0678"
"Kapelle";"2006";"25 tot 30 jaar";"564";"293";"271";"323";"196";"127";"235";"96";"139";"-";"-";"-";"6";"1";"5";"0678"
"Kapelle";"2006";"30 tot 35 jaar";"752";"355";"397";"235";"135";"100";"494";"210";"284";"-";"-";"-";"23";"10";"13";"0678"
"Kapelle";"2006";"35 tot 40 jaar";"882";"437";"445";"183";"112";"71";"641";"306";"335";"3";"-";"3";"55";"19";"36";"0678"
"Kapelle";"2006";"40 tot 45 jaar";"935";"452";"483";"132";"79";"53";"720";"336";"384";"10";"4";"6";"73";"33";"40";"0678"
"Kapelle";"2006";"45 tot 50 jaar";"889";"441";"448";"77";"46";"31";"706";"351";"355";"11";"3";"8";"95";"41";"54";"0678"
"Kapelle";"2006";"50 tot 55 jaar";"879";"443";"436";"31";"19";"12";"767";"386";"381";"16";"7";"9";"65";"31";"34";"0678"
"Kapelle";"2006";"55 tot 60 jaar";"804";"421";"383";"43";"28";"15";"679";"357";"322";"21";"7";"14";"61";"29";"32";"0678"
"Kapelle";"2006";"60 tot 65 jaar";"615";"315";"300";"27";"16";"11";"526";"280";"246";"34";"8";"26";"28";"11";"17";"0678"
"Kapelle";"2006";"65 tot 70 jaar";"468";"230";"238";"20";"7";"13";"367";"206";"161";"56";"8";"48";"25";"9";"16";"0678"
"Kapelle";"2006";"70 tot 75 jaar";"398";"182";"216";"10";"4";"6";"291";"158";"133";"80";"15";"65";"17";"5";"12";"0678"
"Kapelle";"2006";"75 tot 80 jaar";"344";"150";"194";"13";"6";"7";"218";"124";"94";"102";"18";"84";"11";"2";"9";"0678"
"Kapelle";"2006";"80 tot 85 jaar";"270";"109";"161";"12";"6";"6";"133";"80";"53";"116";"21";"95";"9";"2";"7";"0678"
"Kapelle";"2006";"85 tot 90 jaar";"165";"54";"111";"8";"3";"5";"36";"23";"13";"118";"27";"91";"3";"1";"2";"0678"
"Kapelle";"2006";"90 tot 95 jaar";"47";"13";"34";"4";"1";"3";"6";"5";"1";"37";"7";"30";"-";"-";"-";"0678"
"Kapelle";"2006";"95 jaar of ouder";"16";"3";"13";"2";"-";"2";"-";"-";"-";"14";"3";"11";"-";"-";"-";"0678"
"Katwijk";"2006";"Totaal leeftijden";"60932";"30325";"30607";"26827";"14381";"12446";"28803";"14390";"14413";"2967";"540";"2427";"2335";"1014";"1321";"0537"
"Katwijk";"2006";"Jonger dan 5 jaar";"4125";"2154";"1971";"4125";"2154";"1971";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0537"
"Katwijk";"2006";"5 tot 10 jaar";"4086";"2063";"2023";"4086";"2063";"2023";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0537"
"Katwijk";"2006";"10 tot 15 jaar";"4343";"2256";"2087";"4343";"2256";"2087";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0537"
"Katwijk";"2006";"15 tot 20 jaar";"4492";"2324";"2168";"4483";"2323";"2160";"9";"1";"8";"-";"-";"-";"-";"-";"-";"0537"
"Katwijk";"2006";"20 tot 25 jaar";"4021";"2054";"1967";"3483";"1926";"1557";"529";"127";"402";"1";"-";"1";"8";"1";"7";"0537"
"Katwijk";"2006";"25 tot 30 jaar";"3758";"1940";"1818";"1975";"1191";"784";"1739";"738";"1001";"1";"-";"1";"43";"11";"32";"0537"
"Katwijk";"2006";"30 tot 35 jaar";"4003";"2013";"1990";"1217";"754";"463";"2639";"1206";"1433";"5";"1";"4";"142";"52";"90";"0537"
"Katwijk";"2006";"35 tot 40 jaar";"4731";"2401";"2330";"916";"538";"378";"3526";"1738";"1788";"9";"5";"4";"280";"120";"160";"0537"
"Katwijk";"2006";"40 tot 45 jaar";"4671";"2339";"2332";"627";"374";"253";"3641";"1778";"1863";"23";"4";"19";"380";"183";"197";"0537"
"Katwijk";"2006";"45 tot 50 jaar";"4174";"2101";"2073";"429";"232";"197";"3334";"1684";"1650";"47";"11";"36";"364";"174";"190";"0537"
"Katwijk";"2006";"50 tot 55 jaar";"3783";"1866";"1917";"294";"165";"129";"3106";"1564";"1542";"90";"22";"68";"293";"115";"178";"0537"
"Katwijk";"2006";"55 tot 60 jaar";"4016";"2032";"1984";"253";"147";"106";"3256";"1699";"1557";"181";"43";"138";"326";"143";"183";"0537"
"Katwijk";"2006";"60 tot 65 jaar";"2883";"1431";"1452";"163";"85";"78";"2351";"1218";"1133";"200";"50";"150";"169";"78";"91";"0537"
"Katwijk";"2006";"65 tot 70 jaar";"2469";"1197";"1272";"140";"73";"67";"1863";"996";"867";"336";"70";"266";"130";"58";"72";"0537"
"Katwijk";"2006";"70 tot 75 jaar";"1971";"910";"1061";"107";"47";"60";"1346";"741";"605";"421";"78";"343";"97";"44";"53";"0537"
"Katwijk";"2006";"75 tot 80 jaar";"1522";"681";"841";"71";"30";"41";"882";"542";"340";"511";"89";"422";"58";"20";"38";"0537"
"Katwijk";"2006";"80 tot 85 jaar";"1022";"348";"674";"61";"15";"46";"415";"247";"168";"513";"72";"441";"33";"14";"19";"0537"
"Katwijk";"2006";"85 tot 90 jaar";"583";"157";"426";"33";"2";"31";"140";"94";"46";"403";"60";"343";"7";"1";"6";"0537"
"Katwijk";"2006";"90 tot 95 jaar";"236";"53";"183";"17";"4";"13";"26";"16";"10";"188";"33";"155";"5";"-";"5";"0537"
"Katwijk";"2006";"95 jaar of ouder";"43";"5";"38";"4";"2";"2";"1";"1";"-";"38";"2";"36";"-";"-";"-";"0537"
"Kerkrade";"2006";"Totaal leeftijden";"49323";"24416";"24907";"18268";"10185";"8083";"23086";"11560";"11526";"3869";"766";"3103";"4100";"1905";"2195";"0928"
"Kerkrade";"2006";"Jonger dan 5 jaar";"1965";"1039";"926";"1965";"1039";"926";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0928"
"Kerkrade";"2006";"5 tot 10 jaar";"2112";"1082";"1030";"2112";"1082";"1030";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0928"
"Kerkrade";"2006";"10 tot 15 jaar";"2480";"1300";"1180";"2480";"1300";"1180";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0928"
"Kerkrade";"2006";"15 tot 20 jaar";"2827";"1433";"1394";"2808";"1430";"1378";"19";"3";"16";"-";"-";"-";"-";"-";"-";"0928"
"Kerkrade";"2006";"20 tot 25 jaar";"2569";"1296";"1273";"2425";"1268";"1157";"135";"28";"107";"1";"-";"1";"8";"-";"8";"0928"
"Kerkrade";"2006";"25 tot 30 jaar";"2456";"1309";"1147";"1852";"1083";"769";"552";"214";"338";"-";"-";"-";"52";"12";"40";"0928"
"Kerkrade";"2006";"30 tot 35 jaar";"2702";"1373";"1329";"1265";"786";"479";"1234";"506";"728";"4";"-";"4";"199";"81";"118";"0928"
"Kerkrade";"2006";"35 tot 40 jaar";"3566";"1839";"1727";"1057";"686";"371";"2109";"991";"1118";"7";"1";"6";"393";"161";"232";"0928"
"Kerkrade";"2006";"40 tot 45 jaar";"4134";"2080";"2054";"692";"453";"239";"2769";"1325";"1444";"29";"5";"24";"644";"297";"347";"0928"
"Kerkrade";"2006";"45 tot 50 jaar";"4192";"2099";"2093";"490";"325";"165";"2917";"1414";"1503";"72";"18";"54";"713";"342";"371";"0928"
"Kerkrade";"2006";"50 tot 55 jaar";"4156";"2084";"2072";"344";"238";"106";"3114";"1528";"1586";"126";"26";"100";"572";"292";"280";"0928"
"Kerkrade";"2006";"55 tot 60 jaar";"3917";"2100";"1817";"232";"162";"70";"2995";"1614";"1381";"185";"59";"126";"505";"265";"240";"0928"
"Kerkrade";"2006";"60 tot 65 jaar";"3110";"1555";"1555";"140";"100";"40";"2326";"1200";"1126";"257";"65";"192";"387";"190";"197";"0928"
"Kerkrade";"2006";"65 tot 70 jaar";"2802";"1354";"1448";"129";"94";"35";"2019";"1059";"960";"404";"80";"324";"250";"121";"129";"0928"
"Kerkrade";"2006";"70 tot 75 jaar";"2309";"1076";"1233";"100";"63";"37";"1383";"791";"592";"634";"135";"499";"192";"87";"105";"0928"
"Kerkrade";"2006";"75 tot 80 jaar";"1845";"739";"1106";"89";"48";"41";"897";"504";"393";"756";"148";"608";"103";"39";"64";"0928"
"Kerkrade";"2006";"80 tot 85 jaar";"1366";"452";"914";"55";"21";"34";"492";"295";"197";"762";"124";"638";"57";"12";"45";"0928"
"Kerkrade";"2006";"85 tot 90 jaar";"601";"166";"435";"20";"5";"15";"109";"75";"34";"451";"81";"370";"21";"5";"16";"0928"
"Kerkrade";"2006";"90 tot 95 jaar";"186";"34";"152";"12";"2";"10";"15";"12";"3";"155";"19";"136";"4";"1";"3";"0928"
"Kerkrade";"2006";"95 jaar of ouder";"28";"6";"22";"1";"-";"1";"1";"1";"-";"26";"5";"21";"-";"-";"-";"0928"
"Kessel";"2006";"Totaal leeftijden";"4255";"2179";"2076";"1751";"987";"764";"2132";"1064";"1068";"221";"50";"171";"151";"78";"73";"0929"
"Kessel";"2006";"Jonger dan 5 jaar";"263";"140";"123";"263";"140";"123";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0929"
"Kessel";"2006";"5 tot 10 jaar";"254";"129";"125";"254";"129";"125";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0929"
"Kessel";"2006";"10 tot 15 jaar";"281";"131";"150";"281";"131";"150";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0929"
"Kessel";"2006";"15 tot 20 jaar";"257";"137";"120";"256";"137";"119";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0929"
"Kessel";"2006";"20 tot 25 jaar";"188";"108";"80";"175";"105";"70";"13";"3";"10";"-";"-";"-";"-";"-";"-";"0929"
"Kessel";"2006";"25 tot 30 jaar";"220";"110";"110";"165";"94";"71";"52";"14";"38";"-";"-";"-";"3";"2";"1";"0929"
"Kessel";"2006";"30 tot 35 jaar";"262";"134";"128";"105";"70";"35";"153";"62";"91";"-";"-";"-";"4";"2";"2";"0929"
"Kessel";"2006";"35 tot 40 jaar";"346";"188";"158";"75";"53";"22";"252";"130";"122";"-";"-";"-";"19";"5";"14";"0929"
"Kessel";"2006";"40 tot 45 jaar";"356";"169";"187";"60";"35";"25";"265";"118";"147";"3";"2";"1";"28";"14";"14";"0929"
"Kessel";"2006";"45 tot 50 jaar";"357";"200";"157";"46";"36";"10";"279";"147";"132";"5";"-";"5";"27";"17";"10";"0929"
"Kessel";"2006";"50 tot 55 jaar";"309";"162";"147";"22";"19";"3";"251";"125";"126";"8";"4";"4";"28";"14";"14";"0929"
"Kessel";"2006";"55 tot 60 jaar";"330";"179";"151";"14";"12";"2";"276";"147";"129";"18";"6";"12";"22";"14";"8";"0929"
"Kessel";"2006";"60 tot 65 jaar";"242";"130";"112";"9";"9";"-";"205";"110";"95";"19";"5";"14";"9";"6";"3";"0929"
"Kessel";"2006";"65 tot 70 jaar";"190";"98";"92";"10";"7";"3";"150";"85";"65";"25";"4";"21";"5";"2";"3";"0929"
"Kessel";"2006";"70 tot 75 jaar";"160";"71";"89";"6";"5";"1";"117";"58";"59";"32";"6";"26";"5";"2";"3";"0929"
"Kessel";"2006";"75 tot 80 jaar";"115";"39";"76";"5";"2";"3";"64";"30";"34";"45";"7";"38";"1";"-";"1";"0929"
"Kessel";"2006";"80 tot 85 jaar";"88";"40";"48";"2";"1";"1";"45";"29";"16";"41";"10";"31";"-";"-";"-";"0929"
"Kessel";"2006";"85 tot 90 jaar";"27";"8";"19";"1";"1";"-";"7";"4";"3";"19";"3";"16";"-";"-";"-";"0929"
"Kessel";"2006";"90 tot 95 jaar";"7";"5";"2";"1";"1";"-";"1";"1";"-";"5";"3";"2";"-";"-";"-";"0929"
"Kessel";"2006";"95 jaar of ouder";"3";"1";"2";"1";"-";"1";"1";"1";"-";"1";"-";"1";"-";"-";"-";"0929"
"Kollumerland en Nieuwkruisland";"2006";"Totaal leeftijden";"13116";"6705";"6411";"5942";"3325";"2617";"6041";"3021";"3020";"668";"122";"546";"465";"237";"228";"0079"
"Kollumerland en Nieuwkruisland";"2006";"Jonger dan 5 jaar";"843";"447";"396";"843";"447";"396";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0079"
"Kollumerland en Nieuwkruisland";"2006";"5 tot 10 jaar";"822";"424";"398";"822";"424";"398";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0079"
"Kollumerland en Nieuwkruisland";"2006";"10 tot 15 jaar";"906";"452";"454";"906";"452";"454";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0079"
"Kollumerland en Nieuwkruisland";"2006";"15 tot 20 jaar";"851";"425";"426";"850";"425";"425";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0079"
"Kollumerland en Nieuwkruisland";"2006";"20 tot 25 jaar";"772";"409";"363";"734";"400";"334";"38";"9";"29";"-";"-";"-";"-";"-";"-";"0079"
"Kollumerland en Nieuwkruisland";"2006";"25 tot 30 jaar";"797";"428";"369";"548";"343";"205";"244";"83";"161";"-";"-";"-";"5";"2";"3";"0079"
"Kollumerland en Nieuwkruisland";"2006";"30 tot 35 jaar";"854";"473";"381";"367";"245";"122";"462";"215";"247";"1";"-";"1";"24";"13";"11";"0079"
"Kollumerland en Nieuwkruisland";"2006";"35 tot 40 jaar";"1006";"514";"492";"277";"186";"91";"687";"313";"374";"3";"-";"3";"39";"15";"24";"0079"
"Kollumerland en Nieuwkruisland";"2006";"40 tot 45 jaar";"995";"516";"479";"184";"121";"63";"742";"364";"378";"5";"2";"3";"64";"29";"35";"0079"
"Kollumerland en Nieuwkruisland";"2006";"45 tot 50 jaar";"983";"532";"451";"127";"99";"28";"770";"390";"380";"12";"3";"9";"74";"40";"34";"0079"
"Kollumerland en Nieuwkruisland";"2006";"50 tot 55 jaar";"870";"449";"421";"69";"47";"22";"703";"362";"341";"26";"5";"21";"72";"35";"37";"0079"
"Kollumerland en Nieuwkruisland";"2006";"55 tot 60 jaar";"870";"448";"422";"57";"39";"18";"702";"361";"341";"35";"5";"30";"76";"43";"33";"0079"
