"Bevolking; geslacht, leeftijd, burgerlijke staat en regio, 1 januari"
"";"";"Onderwerpen";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: ongehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: gehuwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: verweduwd naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Bevolking: gescheiden naar geslacht";"Regionale coderingen"
"";"";"Onderwerpen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Mannen en vrouwen";"Mannen";"Vrouwen";"Gemeente"
"Regio's";"Perioden";"Leeftijd";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"code"
"Haaren";"2006";"60 tot 65 jaar";"908";"478";"430";"64";"48";"16";"726";"379";"347";"64";"18";"46";"54";"33";"21";"0788"
"Haaren";"2006";"65 tot 70 jaar";"669";"342";"327";"51";"32";"19";"520";"279";"241";"77";"23";"54";"21";"8";"13";"0788"
"Haaren";"2006";"70 tot 75 jaar";"516";"254";"262";"34";"23";"11";"357";"200";"157";"111";"26";"85";"14";"5";"9";"0788"
"Haaren";"2006";"75 tot 80 jaar";"399";"179";"220";"46";"20";"26";"217";"128";"89";"121";"24";"97";"15";"7";"8";"0788"
"Haaren";"2006";"80 tot 85 jaar";"205";"78";"127";"18";"7";"11";"83";"48";"35";"101";"22";"79";"3";"1";"2";"0788"
"Haaren";"2006";"85 tot 90 jaar";"96";"37";"59";"9";"4";"5";"24";"19";"5";"62";"13";"49";"1";"1";"-";"0788"
"Haaren";"2006";"90 tot 95 jaar";"35";"9";"26";"5";"2";"3";"1";"-";"1";"26";"6";"20";"3";"1";"2";"0788"
"Haaren";"2006";"95 jaar of ouder";"10";"5";"5";"2";"1";"1";"2";"2";"-";"6";"2";"4";"-";"-";"-";"0788"
"Haarlem";"2006";"Totaal leeftijden";"147015";"71245";"75770";"73010";"37970";"35040";"53476";"26773";"26703";"8579";"1562";"7017";"11950";"4940";"7010";"0392"
"Haarlem";"2006";"Jonger dan 5 jaar";"8932";"4580";"4352";"8932";"4580";"4352";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0392"
"Haarlem";"2006";"5 tot 10 jaar";"7935";"4075";"3860";"7935";"4075";"3860";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0392"
"Haarlem";"2006";"10 tot 15 jaar";"7621";"3852";"3769";"7621";"3852";"3769";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0392"
"Haarlem";"2006";"15 tot 20 jaar";"7558";"3806";"3752";"7537";"3804";"3733";"21";"2";"19";"-";"-";"-";"-";"-";"-";"0392"
"Haarlem";"2006";"20 tot 25 jaar";"8403";"4077";"4326";"7847";"3927";"3920";"531";"144";"387";"1";"-";"1";"24";"6";"18";"0392"
"Haarlem";"2006";"25 tot 30 jaar";"10275";"5053";"5222";"8280";"4355";"3925";"1841";"652";"1189";"5";"1";"4";"149";"45";"104";"0392"
"Haarlem";"2006";"30 tot 35 jaar";"11649";"5755";"5894";"7156";"3879";"3277";"4032";"1715";"2317";"9";"2";"7";"452";"159";"293";"0392"
"Haarlem";"2006";"35 tot 40 jaar";"12747";"6571";"6176";"5792";"3298";"2494";"5913";"2837";"3076";"44";"11";"33";"998";"425";"573";"0392"
"Haarlem";"2006";"40 tot 45 jaar";"11874";"6043";"5831";"3747";"2135";"1612";"6521";"3220";"3301";"65";"19";"46";"1541";"669";"872";"0392"
"Haarlem";"2006";"45 tot 50 jaar";"10751";"5353";"5398";"2720";"1488";"1232";"6298";"3143";"3155";"104";"20";"84";"1629";"702";"927";"0392"
"Haarlem";"2006";"50 tot 55 jaar";"9493";"4701";"4792";"1794";"990";"804";"5827";"2937";"2890";"230";"46";"184";"1642";"728";"914";"0392"
"Haarlem";"2006";"55 tot 60 jaar";"10387";"5119";"5268";"1319";"744";"575";"6776";"3437";"3339";"405";"94";"311";"1887";"844";"1043";"0392"
"Haarlem";"2006";"60 tot 65 jaar";"7065";"3413";"3652";"581";"280";"301";"4663";"2474";"2189";"506";"108";"398";"1315";"551";"764";"0392"
"Haarlem";"2006";"65 tot 70 jaar";"6114";"2846";"3268";"490";"210";"280";"3913";"2127";"1786";"792";"141";"651";"919";"368";"551";"0392"
"Haarlem";"2006";"70 tot 75 jaar";"5209";"2263";"2946";"416";"163";"253";"3036";"1656";"1380";"1153";"213";"940";"604";"231";"373";"0392"
"Haarlem";"2006";"75 tot 80 jaar";"4565";"1791";"2774";"341";"107";"234";"2259";"1276";"983";"1574";"286";"1288";"391";"122";"269";"0392"
"Haarlem";"2006";"80 tot 85 jaar";"3550";"1251";"2299";"276";"56";"220";"1349";"824";"525";"1701";"313";"1388";"224";"58";"166";"0392"
"Haarlem";"2006";"85 tot 90 jaar";"1950";"508";"1442";"156";"23";"133";"401";"260";"141";"1280";"202";"1078";"113";"23";"90";"0392"
"Haarlem";"2006";"90 tot 95 jaar";"758";"161";"597";"53";"3";"50";"92";"66";"26";"562";"83";"479";"51";"9";"42";"0392"
"Haarlem";"2006";"95 jaar of ouder";"179";"27";"152";"17";"1";"16";"3";"3";"-";"148";"23";"125";"11";"-";"11";"0392"
"Haarlemmerliede en Spaarnwoude";"2006";"Totaal leeftijden";"5489";"2710";"2779";"2460";"1296";"1164";"2510";"1253";"1257";"243";"48";"195";"276";"113";"163";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"Jonger dan 5 jaar";"281";"139";"142";"281";"139";"142";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"5 tot 10 jaar";"371";"200";"171";"371";"200";"171";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"10 tot 15 jaar";"418";"213";"205";"418";"213";"205";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"15 tot 20 jaar";"380";"178";"202";"380";"178";"202";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"20 tot 25 jaar";"241";"126";"115";"235";"125";"110";"6";"1";"5";"-";"-";"-";"-";"-";"-";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"25 tot 30 jaar";"167";"81";"86";"133";"70";"63";"30";"11";"19";"-";"-";"-";"4";"-";"4";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"30 tot 35 jaar";"274";"121";"153";"139";"68";"71";"123";"48";"75";"-";"-";"-";"12";"5";"7";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"35 tot 40 jaar";"424";"207";"217";"163";"94";"69";"227";"100";"127";"1";"-";"1";"33";"13";"20";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"40 tot 45 jaar";"509";"242";"267";"122";"73";"49";"343";"156";"187";"-";"-";"-";"44";"13";"31";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"45 tot 50 jaar";"484";"239";"245";"74";"44";"30";"367";"173";"194";"8";"3";"5";"35";"19";"16";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"50 tot 55 jaar";"467";"263";"204";"55";"47";"8";"371";"199";"172";"9";"3";"6";"32";"14";"18";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"55 tot 60 jaar";"411";"209";"202";"31";"16";"15";"325";"166";"159";"9";"3";"6";"46";"24";"22";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"60 tot 65 jaar";"307";"158";"149";"12";"10";"2";"251";"135";"116";"24";"5";"19";"20";"8";"12";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"65 tot 70 jaar";"237";"120";"117";"14";"9";"5";"178";"95";"83";"23";"5";"18";"22";"11";"11";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"70 tot 75 jaar";"187";"86";"101";"5";"2";"3";"133";"75";"58";"32";"5";"27";"17";"4";"13";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"75 tot 80 jaar";"180";"76";"104";"10";"4";"6";"113";"62";"51";"50";"8";"42";"7";"2";"5";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"80 tot 85 jaar";"95";"38";"57";"10";"4";"6";"34";"25";"9";"50";"9";"41";"1";"-";"1";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"85 tot 90 jaar";"45";"12";"33";"5";"-";"5";"9";"7";"2";"28";"5";"23";"3";"-";"3";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"90 tot 95 jaar";"10";"2";"8";"2";"-";"2";"-";"-";"-";"8";"2";"6";"-";"-";"-";"0393"
"Haarlemmerliede en Spaarnwoude";"2006";"95 jaar of ouder";"1";"-";"1";"-";"-";"-";"-";"-";"-";"1";"-";"1";"-";"-";"-";"0393"
"Haarlemmermeer";"2006";"Totaal leeftijden";"135136";"67379";"67757";"62581";"33119";"29462";"59560";"29800";"29760";"5193";"1052";"4141";"7802";"3408";"4394";"0394"
"Haarlemmermeer";"2006";"Jonger dan 5 jaar";"10073";"5133";"4940";"10073";"5133";"4940";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0394"
"Haarlemmermeer";"2006";"5 tot 10 jaar";"9267";"4811";"4456";"9267";"4811";"4456";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0394"
"Haarlemmermeer";"2006";"10 tot 15 jaar";"8556";"4361";"4195";"8556";"4361";"4195";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0394"
"Haarlemmermeer";"2006";"15 tot 20 jaar";"7921";"4156";"3765";"7909";"4155";"3754";"12";"1";"11";"-";"-";"-";"-";"-";"-";"0394"
"Haarlemmermeer";"2006";"20 tot 25 jaar";"6721";"3375";"3346";"6319";"3278";"3041";"392";"95";"297";"-";"-";"-";"10";"2";"8";"0394"
"Haarlemmermeer";"2006";"25 tot 30 jaar";"7675";"3631";"4044";"5653";"2999";"2654";"1946";"617";"1329";"4";"-";"4";"72";"15";"57";"0394"
"Haarlemmermeer";"2006";"30 tot 35 jaar";"10609";"5114";"5495";"4837";"2690";"2147";"5393";"2306";"3087";"15";"1";"14";"364";"117";"247";"0394"
"Haarlemmermeer";"2006";"35 tot 40 jaar";"13033";"6476";"6557";"3891";"2227";"1664";"8211";"3877";"4334";"32";"11";"21";"899";"361";"538";"0394"
"Haarlemmermeer";"2006";"40 tot 45 jaar";"12288";"6232";"6056";"2409";"1392";"1017";"8510";"4224";"4286";"57";"19";"38";"1312";"597";"715";"0394"
"Haarlemmermeer";"2006";"45 tot 50 jaar";"10186";"5228";"4958";"1323";"791";"532";"7506";"3834";"3672";"126";"25";"101";"1231";"578";"653";"0394"
"Haarlemmermeer";"2006";"50 tot 55 jaar";"9157";"4648";"4509";"870";"518";"352";"6964";"3570";"3394";"186";"51";"135";"1137";"509";"628";"0394"
"Haarlemmermeer";"2006";"55 tot 60 jaar";"9266";"4756";"4510";"613";"366";"247";"7213";"3790";"3423";"324";"91";"233";"1116";"509";"607";"0394"
"Haarlemmermeer";"2006";"60 tot 65 jaar";"6195";"3136";"3059";"293";"174";"119";"4762";"2532";"2230";"436";"106";"330";"704";"324";"380";"0394"
"Haarlemmermeer";"2006";"65 tot 70 jaar";"4754";"2415";"2339";"196";"106";"90";"3581";"1988";"1593";"558";"126";"432";"419";"195";"224";"0394"
"Haarlemmermeer";"2006";"70 tot 75 jaar";"3545";"1672";"1873";"122";"53";"69";"2421";"1371";"1050";"710";"129";"581";"292";"119";"173";"0394"
"Haarlemmermeer";"2006";"75 tot 80 jaar";"2685";"1129";"1556";"124";"43";"81";"1535";"869";"666";"891";"169";"722";"135";"48";"87";"0394"
"Haarlemmermeer";"2006";"80 tot 85 jaar";"1946";"773";"1173";"61";"16";"45";"854";"546";"308";"953";"185";"768";"78";"26";"52";"0394"
"Haarlemmermeer";"2006";"85 tot 90 jaar";"880";"253";"627";"34";"4";"30";"214";"151";"63";"607";"91";"516";"25";"7";"18";"0394"
"Haarlemmermeer";"2006";"90 tot 95 jaar";"306";"68";"238";"23";"2";"21";"45";"28";"17";"233";"37";"196";"5";"1";"4";"0394"
"Haarlemmermeer";"2006";"95 jaar of ouder";"73";"12";"61";"8";"-";"8";"1";"1";"-";"61";"11";"50";"3";"-";"3";"0394"
"Haelen";"2006";"Totaal leeftijden";"9980";"4909";"5071";"3971";"2080";"1891";"4973";"2489";"2484";"597";"132";"465";"439";"208";"231";"0914"
"Haelen";"2006";"Jonger dan 5 jaar";"485";"239";"246";"485";"239";"246";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0914"
"Haelen";"2006";"5 tot 10 jaar";"606";"300";"306";"606";"300";"306";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0914"
"Haelen";"2006";"10 tot 15 jaar";"660";"338";"322";"660";"338";"322";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0914"
"Haelen";"2006";"15 tot 20 jaar";"601";"318";"283";"601";"318";"283";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0914"
"Haelen";"2006";"20 tot 25 jaar";"393";"220";"173";"376";"215";"161";"17";"5";"12";"-";"-";"-";"-";"-";"-";"0914"
"Haelen";"2006";"25 tot 30 jaar";"438";"208";"230";"320";"173";"147";"112";"33";"79";"-";"-";"-";"6";"2";"4";"0914"
"Haelen";"2006";"30 tot 35 jaar";"509";"254";"255";"196";"113";"83";"283";"131";"152";"1";"-";"1";"29";"10";"19";"0914"
"Haelen";"2006";"35 tot 40 jaar";"733";"360";"373";"195";"112";"83";"492";"229";"263";"5";"2";"3";"41";"17";"24";"0914"
"Haelen";"2006";"40 tot 45 jaar";"846";"422";"424";"129";"89";"40";"638";"293";"345";"4";"3";"1";"75";"37";"38";"0914"
"Haelen";"2006";"45 tot 50 jaar";"812";"415";"397";"94";"68";"26";"630";"304";"326";"7";"3";"4";"81";"40";"41";"0914"
"Haelen";"2006";"50 tot 55 jaar";"758";"391";"367";"58";"37";"21";"610";"316";"294";"19";"4";"15";"71";"34";"37";"0914"
"Haelen";"2006";"55 tot 60 jaar";"786";"398";"388";"42";"24";"18";"673";"342";"331";"26";"8";"18";"45";"24";"21";"0914"
"Haelen";"2006";"60 tot 65 jaar";"657";"338";"319";"23";"15";"8";"545";"289";"256";"48";"13";"35";"41";"21";"20";"0914"
"Haelen";"2006";"65 tot 70 jaar";"523";"260";"263";"23";"14";"9";"410";"223";"187";"63";"14";"49";"27";"9";"18";"0914"
"Haelen";"2006";"70 tot 75 jaar";"394";"187";"207";"18";"7";"11";"273";"152";"121";"93";"22";"71";"10";"6";"4";"0914"
"Haelen";"2006";"75 tot 80 jaar";"336";"149";"187";"34";"9";"25";"181";"109";"72";"115";"26";"89";"6";"5";"1";"0914"
"Haelen";"2006";"80 tot 85 jaar";"245";"65";"180";"41";"6";"35";"82";"43";"39";"117";"14";"103";"5";"2";"3";"0914"
"Haelen";"2006";"85 tot 90 jaar";"131";"30";"101";"39";"2";"37";"17";"13";"4";"73";"14";"59";"2";"1";"1";"0914"
"Haelen";"2006";"90 tot 95 jaar";"57";"14";"43";"27";"1";"26";"9";"6";"3";"21";"7";"14";"-";"-";"-";"0914"
"Haelen";"2006";"95 jaar of ouder";"10";"3";"7";"4";"-";"4";"1";"1";"-";"5";"2";"3";"-";"-";"-";"0914"
"Halderberge";"2006";"Totaal leeftijden";"29482";"14747";"14735";"11372";"6197";"5175";"14989";"7506";"7483";"1699";"384";"1315";"1422";"660";"762";"1655"
"Halderberge";"2006";"Jonger dan 5 jaar";"1532";"799";"733";"1532";"799";"733";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1655"
"Halderberge";"2006";"5 tot 10 jaar";"1741";"876";"865";"1741";"876";"865";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1655"
"Halderberge";"2006";"10 tot 15 jaar";"1778";"887";"891";"1778";"887";"891";" ";" ";" ";" ";" ";" ";" ";" ";" ";"1655"
"Halderberge";"2006";"15 tot 20 jaar";"1718";"884";"834";"1718";"884";"834";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1655"
"Halderberge";"2006";"20 tot 25 jaar";"1423";"788";"635";"1358";"776";"582";"64";"11";"53";"-";"-";"-";"1";"1";"-";"1655"
"Halderberge";"2006";"25 tot 30 jaar";"1350";"706";"644";"973";"579";"394";"349";"117";"232";"1";"-";"1";"27";"10";"17";"1655"
"Halderberge";"2006";"30 tot 35 jaar";"1728";"856";"872";"624";"395";"229";"1014";"422";"592";"2";"1";"1";"88";"38";"50";"1655"
"Halderberge";"2006";"35 tot 40 jaar";"2295";"1165";"1130";"503";"316";"187";"1627";"783";"844";"3";"1";"2";"162";"65";"97";"1655"
"Halderberge";"2006";"40 tot 45 jaar";"2435";"1235";"1200";"349";"227";"122";"1836";"896";"940";"19";"7";"12";"231";"105";"126";"1655"
"Halderberge";"2006";"45 tot 50 jaar";"2356";"1197";"1159";"228";"153";"75";"1849";"924";"925";"33";"10";"23";"246";"110";"136";"1655"
"Halderberge";"2006";"50 tot 55 jaar";"2236";"1104";"1132";"144";"95";"49";"1830";"899";"931";"57";"14";"43";"205";"96";"109";"1655"
"Halderberge";"2006";"55 tot 60 jaar";"2445";"1251";"1194";"79";"68";"11";"2044";"1039";"1005";"114";"35";"79";"208";"109";"99";"1655"
"Halderberge";"2006";"60 tot 65 jaar";"1957";"1007";"950";"54";"31";"23";"1631";"875";"756";"163";"44";"119";"109";"57";"52";"1655"
"Halderberge";"2006";"65 tot 70 jaar";"1508";"749";"759";"71";"35";"36";"1181";"637";"544";"189";"40";"149";"67";"37";"30";"1655"
"Halderberge";"2006";"70 tot 75 jaar";"1168";"542";"626";"48";"22";"26";"803";"444";"359";"282";"61";"221";"35";"15";"20";"1655"
"Halderberge";"2006";"75 tot 80 jaar";"877";"384";"493";"61";"25";"36";"488";"290";"198";"304";"58";"246";"24";"11";"13";"1655"
"Halderberge";"2006";"80 tot 85 jaar";"567";"214";"353";"54";"26";"28";"207";"122";"85";"293";"62";"231";"13";"4";"9";"1655"
"Halderberge";"2006";"85 tot 90 jaar";"271";"84";"187";"32";"3";"29";"59";"41";"18";"176";"38";"138";"4";"2";"2";"1655"
"Halderberge";"2006";"90 tot 95 jaar";"78";"17";"61";"20";"-";"20";"7";"6";"1";"49";"11";"38";"2";"-";"2";"1655"
"Halderberge";"2006";"95 jaar of ouder";"19";"2";"17";"5";"-";"5";"-";"-";"-";"14";"2";"12";"-";"-";"-";"1655"
"Hardenberg";"2006";"Totaal leeftijden";"57909";"29257";"28652";"25706";"14143";"11563";"27435";"13722";"13713";"3034";"573";"2461";"1734";"819";"915";"0160"
"Hardenberg";"2006";"Jonger dan 5 jaar";"3961";"1995";"1966";"3961";"1995";"1966";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0160"
"Hardenberg";"2006";"5 tot 10 jaar";"4066";"2063";"2003";"4066";"2063";"2003";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0160"
"Hardenberg";"2006";"10 tot 15 jaar";"4157";"2119";"2038";"4157";"2119";"2038";" ";" ";" ";" ";" ";" ";" ";" ";" ";"0160"
"Hardenberg";"2006";"15 tot 20 jaar";"3904";"2057";"1847";"3903";"2057";"1846";"1";"-";"1";"-";"-";"-";"-";"-";"-";"0160"
"Hardenberg";"2006";"20 tot 25 jaar";"3200";"1697";"1503";"2983";"1651";"1332";"214";"45";"169";"-";"-";"-";"3";"1";"2";"0160"
"Hardenberg";"2006";"25 tot 30 jaar";"3205";"1703";"1502";"2057";"1285";"772";"1119";"409";"710";"1";"-";"1";"28";"9";"19";"0160"
