"Bevolking op 1 januari; leeftijd, geboorteland en regio"
"";"Perioden";"2006";"2006";"2006";"2006"
"";"Onderwerpen";"Mannen";"Mannen";"Vrouwen";"Vrouwen"
"";"Geboorteland";"Totaal buitenland";"Nederland";"Totaal buitenland";"Nederland"
"Regio's";"Leeftijd";"aantal";"aantal";"aantal";"aantal"
"Alphen-Chaam";"65 jaar of ouder";"15";"633";"51";"687"
"Ambt Montfort";"0 tot 15 jaar";"25";"835";"32";"833"
"Ambt Montfort";"15 tot 30 jaar";"34";"813";"34";"743"
"Ambt Montfort";"30 tot 45 jaar";"77";"1077";"96";"1059"
"Ambt Montfort";"45 tot 65 jaar";"109";"1716";"122";"1609"
"Ambt Montfort";"65 jaar of ouder";"37";"749";"59";"939"
"Ameland";"0 tot 15 jaar";"8";"333";"11";"322"
"Ameland";"15 tot 30 jaar";"19";"262";"17";"228"
"Ameland";"30 tot 45 jaar";"16";"378";"18";"345"
"Ameland";"45 tot 65 jaar";"20";"491";"17";"483"
"Ameland";"65 jaar of ouder";"5";"225";"8";"269"
"Amersfoort";"0 tot 15 jaar";"587";"14255";"568";"13451"
"Amersfoort";"15 tot 30 jaar";"1673";"10096";"2030";"10223"
"Amersfoort";"30 tot 45 jaar";"2918";"15197";"3060";"15222"
"Amersfoort";"45 tot 65 jaar";"2040";"13793";"2108";"13744"
"Amersfoort";"65 jaar of ouder";"665";"5720";"945";"8704"
"Amstelveen";"0 tot 15 jaar";"752";"5937";"707";"5873"
"Amstelveen";"15 tot 30 jaar";"1343";"5007";"1487";"4990"
"Amstelveen";"30 tot 45 jaar";"2267";"6190";"2509";"6440"
"Amstelveen";"45 tot 65 jaar";"1893";"8146";"2106";"8456"
"Amstelveen";"65 jaar of ouder";"698";"5079";"1102";"7792"
"Amsterdam";"0 tot 15 jaar";"4127";"56492";"3979";"54077"
"Amsterdam";"15 tot 30 jaar";"19790";"54272";"23653";"60281"
"Amsterdam";"30 tot 45 jaar";"43929";"63423";"41746";"58228"
"Amsterdam";"45 tot 65 jaar";"32696";"57166";"30029";"55307"
"Amsterdam";"65 jaar of ouder";"7675";"26558";"9056";"40595"
"Andijk";"0 tot 15 jaar";"25";"590";"16";"606"
"Andijk";"15 tot 30 jaar";"28";"568";"33";"471"
"Andijk";"30 tot 45 jaar";"48";"646";"51";"601"
"Andijk";"45 tot 65 jaar";"38";"1014";"51";"894"
"Andijk";"65 jaar of ouder";"7";"352";"10";"421"
"Anna Paulowna";"0 tot 15 jaar";"22";"1444";"16";"1382"
"Anna Paulowna";"15 tot 30 jaar";"45";"1166";"43";"1063"
"Anna Paulowna";"30 tot 45 jaar";"77";"1571";"101";"1551"
